Abbeville,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Adamsville,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Addison,11.36¢/kWh.,11.28¢/kWh.,6.68¢/kWh.
Akron,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Alabaster,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Albertville,10.32¢/kWh.,10.43¢/kWh.,6.37¢/kWh.
Alexander City,10.88¢/kWh.,10.53¢/kWh.,9.17¢/kWh.
Aliceville,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Allgood,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Altoona,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Andalusia,13¢/kWh.,14.62¢/kWh.,8.99¢/kWh.
Anderson,10.53¢/kWh.,10.61¢/kWh.,6.72¢/kWh.
Anniston,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Arab,10.73¢/kWh.,10.98¢/kWh.,7.37¢/kWh.
Ardmore,10.72¢/kWh.,10.61¢/kWh.,6.55¢/kWh.
Argo,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Ariton,13.41¢/kWh.,12.56¢/kWh.,10.4¢/kWh.
Arley,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Ashford,12.46¢/kWh.,12.82¢/kWh.,8.38¢/kWh.
Ashland,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Ashville,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Athens,10.49¢/kWh.,10.48¢/kWh.,7.07¢/kWh.
Atmore,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Attalla,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Auburn,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Autaugaville,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Avon,12.46¢/kWh.,12.82¢/kWh.,8.38¢/kWh.
Babbie,14.51¢/kWh.,13.36¢/kWh.,11.93¢/kWh.
Baileyton,10.73¢/kWh.,10.98¢/kWh.,7.37¢/kWh.
Bakerhill,13.41¢/kWh.,12.56¢/kWh.,10.4¢/kWh.
Banks,12.2¢/kWh.,13.27¢/kWh.,9.5¢/kWh.
Bay Minette,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Bayou La Batre,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Bear Creek,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Beatrice,9.56¢/kWh.,11.69¢/kWh.,8.85¢/kWh.
Beaverton,13.21¢/kWh.,12.96¢/kWh.,6.22¢/kWh.
Belk,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Benton,13.17¢/kWh.,16.04¢/kWh.,6.22¢/kWh.
Berry,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Bessemer,10.76¢/kWh.,10.96¢/kWh.,6.6¢/kWh.
Billingsley,12.25¢/kWh.,13.22¢/kWh.,9.56¢/kWh.
Birmingham,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Black,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Blountsville,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Blue Springs,13.41¢/kWh.,12.56¢/kWh.,10.4¢/kWh.
Boaz,10.93¢/kWh.,10.85¢/kWh.,6.61¢/kWh.
Boligee,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Bon Air,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Brantley,13¢/kWh.,14.62¢/kWh.,8.99¢/kWh.
Brent,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Brewton,10.14¢/kWh.,11.72¢/kWh.,7.46¢/kWh.
Bridgeport,11.23¢/kWh.,11.12¢/kWh.,6.88¢/kWh.
Brighton,10.76¢/kWh.,10.96¢/kWh.,6.6¢/kWh.
Brilliant,11.92¢/kWh.,12.18¢/kWh.,5.76¢/kWh.
Brookside,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Brookwood,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Brundidge,13.54¢/kWh.,11.99¢/kWh.,10.4¢/kWh.
Butler,10.86¢/kWh.,10.68¢/kWh.,8.76¢/kWh.
Calera,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Camden,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Camp Hill,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Carbon Hill,10.71¢/kWh.,11.74¢/kWh.,6.07¢/kWh.
Cardiff,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
Carolina,13¢/kWh.,14.62¢/kWh.,8.99¢/kWh.
Carrollton,10.67¢/kWh.,11.57¢/kWh.,5.69¢/kWh.
