Adak,84.11¢/kWh.,84.35¢/kWh.,16.82¢/kWh.
Akhiok,17.97¢/kWh.,18.53¢/kWh.,16.97¢/kWh.
Akiak,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Akutan,32.41¢/kWh.,31.17¢/kWh.,16.82¢/kWh.
Alakanuk,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Aleknagik,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Allakaket,26.5¢/kWh.,30.63¢/kWh.,16.82¢/kWh.
Ambler,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Anaktuvuk Pass,28.87¢/kWh.,17.15¢/kWh.,16.82¢/kWh.
Anchorage,10.77¢/kWh.,13.48¢/kWh.,16.82¢/kWh.
Anderson,22.59¢/kWh.,24.22¢/kWh.,18.8¢/kWh.
Angoon,52.19¢/kWh.,63.89¢/kWh.,62.7¢/kWh.
Aniak,70.14¢/kWh.,79.03¢/kWh.,16.82¢/kWh.
Anvik,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Atka,69.36¢/kWh.,69.91¢/kWh.,16.82¢/kWh.
Atqasuk,10.32¢/kWh.,11.85¢/kWh.,16.82¢/kWh.
Barrow,10.32¢/kWh.,11.85¢/kWh.,16.82¢/kWh.
Bethel,53.27¢/kWh.,56.1¢/kWh.,16.82¢/kWh.
Bettles,26.5¢/kWh.,30.63¢/kWh.,16.82¢/kWh.
Brevig Mission,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Buckland,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Chefornak,37.17¢/kWh.,41.23¢/kWh.,16.82¢/kWh.
Chevak,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Chignik,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Chuathbaluk,70.14¢/kWh.,79.03¢/kWh.,16.82¢/kWh.
Clarks Point,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Coffman Cove,39.35¢/kWh.,47.26¢/kWh.,39.76¢/kWh.
Cold Bay,77.72¢/kWh.,77.2¢/kWh.,42.78¢/kWh.
Cordova,34.28¢/kWh.,42.16¢/kWh.,23.76¢/kWh.
Craig,0¢/kWh.,0¢/kWh.,0¢/kWh.
Deering,100.49¢/kWh.,100.29¢/kWh.,16.82¢/kWh.
Delta Junction,22.59¢/kWh.,24.22¢/kWh.,18.8¢/kWh.
Dillingham,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Diomede,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Eagle,26.5¢/kWh.,30.63¢/kWh.,16.82¢/kWh.
Eek,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Egegik,0¢/kWh.,0¢/kWh.,0¢/kWh.
Ekwok,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Elim,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Emmonak,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Fairbanks,22.59¢/kWh.,24.22¢/kWh.,18.8¢/kWh.
False Pass,84.11¢/kWh.,84.35¢/kWh.,16.82¢/kWh.
Fort Yukon,44.98¢/kWh.,42.47¢/kWh.,16.82¢/kWh.
Galena,64.31¢/kWh.,55.99¢/kWh.,16.82¢/kWh.
Gambell,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Golovin,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Goodnews Bay,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Grayling,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Gustavus,42.12¢/kWh.,52.08¢/kWh.,16.82¢/kWh.
Holy Cross,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Homer,17.59¢/kWh.,20.26¢/kWh.,8.73¢/kWh.
Hoonah,52.19¢/kWh.,63.89¢/kWh.,62.7¢/kWh.
Hooper Bay,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Houston,12.76¢/kWh.,15.23¢/kWh.,16.82¢/kWh.
Hughes,70.78¢/kWh.,70.59¢/kWh.,16.82¢/kWh.
Huslia,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Hydaburg,26.5¢/kWh.,30.63¢/kWh.,16.82¢/kWh.
Juneau,9.91¢/kWh.,11.93¢/kWh.,9.44¢/kWh.
Kachemak,17.59¢/kWh.,20.26¢/kWh.,8.73¢/kWh.
Kake,0¢/kWh.,0¢/kWh.,0¢/kWh.
Kaktovik,28.87¢/kWh.,17.15¢/kWh.,16.82¢/kWh.
Kaltag,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Kasaan,26.5¢/kWh.,30.63¢/kWh.,16.82¢/kWh.
Kenai,17.59¢/kWh.,20.26¢/kWh.,8.73¢/kWh.
Ketchikan,18.12¢/kWh.,20.41¢/kWh.,12.6¢/kWh.
Kiana,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
King Cove,34.98¢/kWh.,20.04¢/kWh.,16.82¢/kWh.
Kivalina,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Klawock,39.35¢/kWh.,47.26¢/kWh.,39.76¢/kWh.
Kobuk,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Kodiak,17.97¢/kWh.,18.53¢/kWh.,16.97¢/kWh.
Kotlik,34.79¢/kWh.,39.95¢/kWh.,16.82¢/kWh.
Kotzebue,48.53¢/kWh.,52.85¢/kWh.,16.82¢/kWh.
Koyuk,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Koyukuk,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Kupreanof,26.5¢/kWh.,30.63¢/kWh.,16.82¢/kWh.
Kwethluk,46.55¢/kWh.,46.54¢/kWh.,16.82¢/kWh.
Larsen Bay,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Lower Kalskag,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Manokotak,14.93¢/kWh.,17.88¢/kWh.,16.82¢/kWh.
Marshall,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
McGrath,34.5¢/kWh.,37.95¢/kWh.,16.82¢/kWh.
Mekoryuk,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Mountain Village,54.66¢/kWh.,62.01¢/kWh.,16.82¢/kWh.
Napakiak,75.06¢/kWh.,75.97¢/kWh.,16.82¢/kWh.
Napaskiak,53.27¢/kWh.,56.1¢/kWh.,16.82¢/kWh.
Nenana,22.59¢/kWh.,24.22¢/kWh.,18.8¢/kWh.
