Adona,10.97¢/kWh.,9.72¢/kWh.,6.01¢/kWh.
Alexander,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Alicia,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Allport,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Alma,6.46¢/kWh.,7.63¢/kWh.,4.82¢/kWh.
Almyra,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Alpena,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Altheimer,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Altus,6.46¢/kWh.,7.63¢/kWh.,4.82¢/kWh.
Amagon,8.24¢/kWh.,10.33¢/kWh.,10.91¢/kWh.
Amity,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Anthonyville,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Antoine,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Arkadelphia,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Arkansas City,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Ashdown,6.74¢/kWh.,8.26¢/kWh.,5.29¢/kWh.
Ash Flat,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Atkins,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Aubrey,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Augusta,8.45¢/kWh.,9.73¢/kWh.,6.03¢/kWh.
Austin,9.35¢/kWh.,9.69¢/kWh.,6.16¢/kWh.
Avoca,6.74¢/kWh.,8.26¢/kWh.,5.29¢/kWh.
Bald Knob,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Banks,7.99¢/kWh.,9.87¢/kWh.,6.57¢/kWh.
Barling,6.46¢/kWh.,7.63¢/kWh.,4.82¢/kWh.
Bassett,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
Batesville,7.73¢/kWh.,9.65¢/kWh.,6.3¢/kWh.
