Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
AES Central Thermal San Nicolas Power Plant Argentina,Argentina,Operating Fully,-33.3559,-60.1734,650,Sub-critical Thermal,Please Select,"San Nicholas, Buenos Aires, Argentina",Regional Grid,Parana River,1953-00-00,AES Argentina (since March 1993),,,,Central Termica San Nicolas (AES Argentina),,,http://www.aesargentina.com.ar/sannicolas_e.htm
Anglesea Coal Power Plant Australia,Australia,Operating Fully,-38.386,144.18287,150,Sub-critical Thermal,Base Load,"Anglesea, Victoria, Australia",Regional Grid,,1969-00-00,Alcoa of Australia,,Private,Ebasco,Alcoa of Australia,,,http://www.alcoa.com/australia/en/info_page/anglesea_power.asp
Bayswater Coal Power Plant Australia,Australia,Operating Fully,-32.395,150.9492,2640,Sub-critical Thermal,Base Load,"New South Wales, Australia",Regional Grid,Adjacent Bayswater Reservoir,1985-00-00,Macquarie Generation,,Government,,Macquarie Generation,,,http://www.macgen.com.au/Generation-Portfolio/Bayswater-Power-Station.aspx
Bluewaters Coal Power Station Australia,Australia,Operating Fully,-33.3315,116.227,416,Sub-critical Thermal,Base Load,"4.5 kilometres NE of Collie, Western Australia",Regional Grid,,2009-00-00,Griffin Energy,,Private,"Mitsui, D&Z Constructions",Griffin Energy,,,http://www.ga.gov.au/fossil_fuel/gmaps/operating.html
Callide B Coal Power Plant Australia,Australia,Operating Fully,-24.34495,150.61975,700,Sub-critical Thermal,Base Load,"18km East of Biloela, Queensland, Australia",Regional Grid,Awoonga dam and Stag Creek Pipeline,1989-00-00,CS Energy,100,Private,,CS Energy,,,http://www.csenergy.com.au/content-%2819%29-callide.htm  and  http://www.callideoxyfuel.com/Why/CallideAPowerStation/tabid/73/Default.aspx
Callide C Coal Power Plant Australia,Australia,Operating Fully,-24.33385,150.6279,900,Super-critical Thermal,Base Load,"19km NE of Biloela, Queensland, Australia",Regional Grid,Coll,2001-07-05,CS Energy,50,IPP,"Mitsui, Pacific Power International, IHI, Toshiba",CS Energy,,,http://www.csenergy.com.au/content-%2819%29-callide.htm
Collinsville Coal Power Plant Australia,Australia,Operating Fully,-20.545,147.8045,190,Sub-critical Thermal,Intermediate Load,"Collinsville, Queensland, Australia",Regional Grid,,1976-00-00,Transfield Services Limited,,,,,,,http://www.transfieldservices.com/page/News_Centre/News/2002/Transfield_Services_takes_full_ownership_of_Collinsville_power_station/
Energy Brix (Morwell) Coal Power Plant Australia,Australia,Operating Fully,-38.25458,146.4137,170,Sub-critical Thermal,Base Load,"Hazelwood, Latrobe Valley, Victoria, Australia",Regional Grid,,1958-00-00,Energy Brix Australia (part of HRL Limited Group),,,State Electricity Commission of Victoria (SECV),Energy Brix Australia,,,http://www.ebac.com.au/brix/power.asp
Eraring Coal Power Plant Australia,Australia,Operating Fully,-33.0622,151.5209,2840,Sub-critical Thermal,Base Load,"Hazelwood, Latrobe Valley, Victoria, Australia",Regional Grid,,1958-00-00,Energy Brix Australia (part of HRL Limited Group),,,State Electricity Commission of Victoria (SECV),Energy Brix Australia,,,http://www.ebac.com.au/brix/power.asp
Gladstone Coal Power Plant Australia,Australia,Operating Fully,-23.8507,151.2193,1680,Sub-critical Thermal,Base Load,"Gladstone, Queensland, Australia",Regional Grid,Seawater,1976-00-00,Rio Tinto Ltd,42.125,Private,Siemens,NRG Gladstone,,,http://www.nrggos.com.au/page/About_Us/
