Fier Thermal Power Plant Albania (Shutdown),Albania,Decommissioned,40.7009,19.5507,186,Sub-critical Steam Turbine,Base Load,"Fier, Fier, Albania",National Grid,,,,,,Korporata Elektroenergjitike Shqiptare (KESH),,,http://www.narucpartnerships.org/Documents/Generation%20sources%20and%20power%20sector%20infrastructure%20development%20in%20Albania_Nashi_Eng.pdf  and  http://en.wikipedia.org/wiki/Fier_Power_Station
La Tablada Power Plant Argentina,Argentina,Operating Partially,-27.4185,-55.9098,22.15,Gas Turbine,Please Select,"Posadas, Misiones, Argentina",National Grid,1969-00-00,,,,,Electricidad de Misones S.A. (EMSA),,,http://energia3.mecon.gov.ar/contenidos/verpagina.php?idpagina=3368  and  http://energia3.mecon.gov.ar/contenidos/verpagina.php?idpagina=2599
Bastyan Oil/Diesel Power Plant Australia,Australia,Operating Fully,-41.735,145.532,60,Oil Engine,Please Select,Tasmania,Please Select,2004-00-00,Hydro Tasmania,,,,,,,Hydro Tasmania website (10/12/03)
Ernest Henry Oil Power Plant Australia,Australia,Operating Fully,-20.43871219,140.7187046,32,Oil Engine,Please Select,"Queensland, Australia",Please Select,1997-00-00,MIM,,,,,,,Qld Govt Mining Journal 12/95
Gove Oil/Diesel Power Plant Australia,Australia,Operating Fully,-12.18450726,136.7040267,105,Sub-critical Steam Turbine,Please Select,"Northern Territory, Australia",Regional Grid,1971-00-00,Alcan Gove,,,,,,,"Profiting from cogeneration, DPIE, 1997; www.alcangove.com.au (15/4/03)"
Jabiru Oil/Diesel Power Plant Australia,Australia,Operating Fully,-12.6824,132.9225,28,Oil Engine,Base Load,"Jabiru, Northern Territory, Australia",Local Grid,1981-00-00,Energy Resources Australia (ERA),,,,Energy Resources Australia (ERA),,,ERA website (7/7/04)
Lonsdale Diesel Power Plant Australia,Australia,Operating Fully,-35.10770272,138.4876152,20,Oil Engine,Please Select,South Australia,Please Select,2002-00-00,Cummins Power Generation,,,,,,,Australian Energy News (Dec 01)
Mt Stuart Oil Power Plant Australia,Australia,Operating Fully,-19.338,146.8506,414,Gas Turbine,Peaking Load,"12 km south of Townsville, Queensland, Australia",Regional Grid,1999-01-00,Origin Energy,100,,AES Corporation,Origin Energy,,,"Electricity Australia 2001 (ESAA), p56; Bloomberg.com (17/2/03)"
Port Lincoln Diesel Power Plant Australia,Australia,Operating Fully,-34.7,135.805,50,Gas Turbine,Please Select,"South Australia, Australia",Please Select,1998-00-00,Synergen Energy (100% Australian National Power owned 100% by International Power plc),,,,,,,"Electricity Australia 2002 (ESAA), p63"
Swanbank C and D Oil Power Plant Australia,Australia,Operating Fully,-27.65399979,152.8159987,63,Gas Turbine,Please Select,Queensland,Please Select,,CS Energy,,,,,,,"Electrcity Australia 2001 (ESAA), p56; CSEnergy Website (4/05); Electricity Australia 2004 (p50)"
Theiss Thermal Power Plant Austria,Austria,Operating Fully,48.3938,15.7085,430,Mix of Steam and Combustion Turbines,Peaking Load and Backup,"Gedersdorf, Lower Austria, Austria",National Grid,1974-00-00,EVN Group,,,,EVN,,,http://evn.corporate-reports.net/reports/evn/annual/2014/gb/English/101010/energy-business.html
Werndorf-Neudorf CHP Power Plant Austria,Austria,Operating Partially,46.90835,15.4836,164,Cogeneration Power and Heat Steam Turbine,Please Select,"Werndorf-Neudorf, Styria, Austria",National Grid,1968-00-00,VERBUND Thermal Power GmbH,,,Styrian hydropower and electricity AG,VERBUND Thermal Power GmbH,,,http://www.verbund.com/pp/de/waermekraftwerk/werndorf-neudorf-fernheizkraftwerk
Ali-Bayramly Thermal Power Plant Azerbaijan,Azerbaijan,Operating Fully,39.8954,48.913,1050,Sub-critical Steam Turbine,Base Load,"Ali Bayramli City, Azerbeijan",National Grid,1962-00-00,Azerenerji Joint Stock Company,,,,Azerenerji Joint Stock Company,,,http://www.azerenerji.com/index.php?section=2
Azerbaijan Thermal Power Plant Azerbaijan,Azerbaijan,Operating Partially,40.78,46.99,2400,Sub-critical Steam Turbine,Base Load,"Mingecevir, Azerbaijan",National Grid,1981-00-00,Azerenerji Joint Stock Company,,,,Azerenerji Joint Stock Company,,,http://www.azerenerji.com/index.php?section=64&lng=en
Bheramara Oil Power Plant Bangladesh,Bangladesh,Operating Fully,24.04828637,89.01818275,60,Gas Turbine,Please Select,"Bheramara, Bangladesh",Please Select,1976-07-28,Bangladesh Power Development Board (BPDB),100,Government,,Bangladesh Power Development Board (BPDB,,,http://www.bpdb.gov.bd/download/power_plants.pdf
Jhulda Oil Power Plant Bangladesh,Bangladesh,Operating Fully,22.29724,91.8054,100,Oil Engine,Please Select,"Jhulda, Chittagong, Bangladesh",Please Select,2011-00-00,Acorn Infrastructure Services Ltd. (AISL),,,Caterpillar Power Generation Systems,Acorn Infrastructure Service Ltd (AISL),,,http://www.catpowerplants.com/PowerProfile/2
KPCL BMPP Bangladesh,Bangladesh,Operating Fully,22.868,89.537,110,Oil Engine,Please Select,"Goalpara, Khalishpur, Khulna, Bangladesh",Please Select,1998-10-12,Khulna Power Company Limited (KPCL),,IPP,Wartsila,Khulna Power Company Limited (KPCL),,,http://www.khulnapower.com/profile.php
Khulna Thermal Power Plant Bangladesh,Bangladesh,Operating Fully,22.868,89.53867,170,Sub-critical Steam Turbine,Please Select,"Khulna, Bangladesh",Please Select,1973-05-25,Bangladesh Power Development Board (BPDB),100,Government,,Bangladesh Power Development Board (BPDB,,,http://www.bpdb.gov.bd/download/power_plants.pdf
