Argyle Waste PP,Australia,Please Select,-16.717,128.404,20,Please Select,Please Select,Western Australia,Please Select,,Rio Tinto,,,,,,,
Invicta Waste PP,Australia,Please Select,-19.51700074,147.1070004,50,Please Select,Please Select,"Giru, Queensland",Please Select,1976-00-00,CSR Sugar Mills,,,,,,,"Profiting from cogeneration, DPIE, 1997"
Plane Creek Waste PP,Australia,Please Select,-21.45,149.2,20,Please Select,Please Select,"Sarina, Queensland",Please Select,1970-00-00,CSR Sugar Mills,,,,,,,"Electricity Australia 1998 ESAA, p70"
Port Kembla Waste PP,Australia,Please Select,-34.49000127,150.8999988,61,Please Select,Please Select,"New South Wales, Australia",Please Select,1992-00-00,Bluescope Steel,,,,,,,"Electricity Australia 2001 (ESAA), p55"
Rocky Point Waste PP,Australia,Please Select,-26.3383636,153.0232318,30,Please Select,Please Select,Queensland,Please Select,,National Power and Babcock and Brown JV,,,,,,,"Electricity Australia (ESAA), p71"
Tully Waste PP,Australia,Please Select,-17.93000057,145.9300007,20,Please Select,Please Select,"Tully, Queensland",Please Select,1956-00-00,Sugar North,,,,,,,"Profiting from cogeneration, DPIE, 1997; Electricity Australia 1999 (ESAA), p68"
Weipa Waste PP,Australia,Please Select,-12.66852091,141.8720403,21,Please Select,Please Select,"Rocky Point, Queensland",Please Select,1995-00-00,Comalco,,,,,,,"Profiting from cogeneration, DPIE, 1997; Australian Mining 10/98"
Centrale de Congeneration de Saint Felicien Power Plant Canada,Canada,Operating Fully,48.6378,-72.4338,23,Cogeneration Power and Heat Steam Turbine,Please Select,"Saint Felicie, Quebec, Canada",Please Select,2005-00-00,CHI Canada Inc. (Enel North America subsidiary),,,,CHI Canada Inc.,,,http://www.enel.it/northamerica/powerPlantsDett.asp?reg=cnd&sm=2
Fort Francis Mill Biomass Power Plant Canada,Canada,Operating Fully,48.61,-93.401,50,Sub-critical Steam Turbine,Please Select,"145 Third Street West, Fort Frances, Ontario, Canada",Please Select,,Abitibi Consolidated Company of Canada,100,IPP,,Abitibi Consolidated Company of Canada,,,http://www.ec.gc.ca/pdb/websol/querysite/query_e.cfm
Grand Prairie Cogen Power Plant Canada,Canada,Operating Fully,55.1603,-118.819,25,Sub-critical Steam Turbine,Please Select,"8701 108 St. Grande Prairie, Alberta, Canada",Please Select,2005-00-00,TransAlta,100,,,Canadian Gas and Electric Inc. (Canadian Hydro Developers),,,http://www.ec.gc.ca/pdb/websol/querysite/query_e.cfm
Plasco Trail Road Waste Power Plant Canada,Canada,Please Select,45.232,-75.771,4,Other,Please Select,"Opposite Trail Road Landfill, Ottawa, Canada",Please Select,2008-02-00,Plasco Energy Group,,,,Plasco Trail Road Inc,,,http://www.zerowasteottawa.com/en/About-Plasco/
Whitecourt Electric Power Generating Facility Canada,Canada,Operating Fully,54.1624,-115.7338,25,Sub-critical Steam Turbine,Please Select,"2 km North of Whitecourt on Hwy 43, Whitecourt, Alberta T7S1P6 Canada",Please Select,1994-12-00,Macquarie Power & Infrastructure Income Fund,100,,,Whitecourt Power LP,,,http://www.whitecourtpower.com/aboutus/
Herning CHP Power Plant Denmark,Denmark,Operating Fully,56.1214,9.0068,95,Cogeneration Power and Heat Steam Turbine,Cogeneration,"Herning, Central Jutland, Denmark",National Grid,1982-00-00,DONG Energy,,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/herning_chp_plant.aspx
Pietersaari (Jakobstad) Biomass CHP Power Plant Finland,Finland,Operating Fully,63.70194,22.70972,240,Sub-critical Steam Turbine,Please Select,"Pietarsaari, Western Finland, Finland",National Grid,2001-10-00,Alholmens Kraft  (consortium of 7 owners),,,,Alholmens Kraft,,,http://www.alholmenskraft.com/en/
EBKW Knapsack Hurth Power Plant Germany,Germany,Operating Fully,50.8571,6.8432,,Sub-critical Steam Turbine,Base Load,"Industriestraße 300 50354 Huerth, North Rhine-Westphalia, Germany",National Grid,2009-00-00,EEW Energy from Waste Saabrücken GmbH,,,,EBS Kraftwerk GmbH,,,http://www.eew-energyfromwaste.com/fileadmin/content/Materialbestellung/Knapsack_Standortflyer_ENG.pdf
Iserlohn AWG Mullheizkraftwerk Wuppertal Germany,Germany,Operating Fully,51.225,7.14218,70,Sub-critical Steam Turbine,Please Select,"Korzert 15/42349, Wuppertal, North Rhine-Westphalia, Germany",National Grid,1995-00-00,AWG Abfallwirtschaftsgesellschaft mbH,,,,AWG Abfallwirtschaftsgesellschaft mbH,,,http://www.awg-wuppertal.de/web/awg.php?sid=11098
Ano Liosia Waste Power Plant Greece,Greece,Operating Fully,38.0773,23.6544,23.5,Reciprocating Engine,Please Select,"Ano Liosia, Athens, Greece",National Grid,2001-03-00,DEI Public Power Corporation,50,,,DEI Public Power Corporation,,,http://www.lignite.gr/events/5.pdf
Brescia Waste-to-Energy Plant Italy,Italy,Operating Fully,45.5116,10.21,117,Cogeneration Power and Heat Steam Turbine,Please Select,"Brescia, Italy",Please Select,,A2A (formed in January of 2008 after a merger between AEM SpA Milano and ASM Spa Brescia),,,Ansaldo Energia including Martin and ABB,A2A,,,http://www.a2a.eu/gruppo/cms/a2a/en/about_us/impianti/termovalorizzazione/termovalorizzatore_brescia/
Golfo/Penoles Thermal Power Plant Mexico,Mexico,Please Select,22.06909614,-98.84665489,520,Please Select,Please Select,"10 km NW of Tamuin, San Luis Potasi, Mexico",Please Select,2004-04-29,AES Corporation (100% acquired in Feb 2007),,,Alstom Holdings and Sithe,Termoelectrica del Golfo (TEG) and Termoelectrica Penoles (TEP),,,http://www.industcards.com/st-other-mexico.htm
Monte Rosa Cogen Power Plant Nicaragua,Nicaragua,Operating Fully,12.7058,-87.2351,56.5,Cogeneration Power and Heat Steam Turbine,Please Select,"Chinandega, Nicaragua",National Grid,2002-00-00,,,,,"Monte Rosa, S.A. (IMR)",,,http://www.undp.org.cu/eventos/biomasa/Proyecto%20de%20co-generaci%F3n%20Ingenio%20Monte%20Rosa%2C%20Nicaragua.pdf
