EMAILS,SITE STATUS
"['southafrica@vemma.com', 'Taiwan@vemmatw.com', 'cs@vemma.com.vn', 'vemmacaribe@gmail.com', 'info@vemmafrica.com', 'info@vemma.com', 'ms.malaysia@vemmaasia.com', 'ms.indonesia@vemmaasia.com', 'support@vemmanutrition.com.au', 'dominicana@vemma.com.mx', 'info.ph@vemmaasia.com', 'hongkong@vemmaasia.com', 'japan@vemma.com', 'thailand@vemmaasia.com', 'ms@vemmaasia.com', 'tanzania@vemmafrica.com', 'servicioacliente@vemma.com.mx', 'support@vemmang.com', 'servicioalcliente@vemmanutrition.com.co']",200
[],200
"['nr@original', 'complaints@agl.com.au', 'nr@seenError', 'nr@context', 'nr@wrapped', 'contact@ewosa.com.au', 'customer.solutions@agl.com.au']",200
[],200
[],200
[],200
"['nr@seenError', 'nr@context', 'nr@original', 'nr@wrapped', 'origin@boardroomlimited.com.au']",200
[],200
"['energy.sydney@acciona.com', 'info@geotech.net.au', 'enquiries.singapore@acciona.com', 'enquiries.australia@acciona.com', 'infrastructure.melbourne@acciona.com', 'energy.brisbane@acciona.com', 'energy.community.relations.au@acciona.com', 'emma.reiners@acciona.com', 'energy.melbourne@acciona.com', 'infrastructure.sydney@acciona.com', 'infrastructure.brisbane@acciona.com', 'julian.elliott@acciona.com']",200
"['energy.sydney@acciona.com', 'info@geotech.net.au', 'enquiries.singapore@acciona.com', 'enquiries.australia@acciona.com', 'infrastructure.melbourne@acciona.com', 'energy.brisbane@acciona.com', 'energy.community.relations.au@acciona.com', 'emma.reiners@acciona.com', 'energy.melbourne@acciona.com', 'infrastructure.sydney@acciona.com', 'infrastructure.brisbane@acciona.com', 'julian.elliott@acciona.com']",200
"['energy.sydney@acciona.com', 'info@geotech.net.au', 'enquiries.singapore@acciona.com', 'enquiries.australia@acciona.com', 'infrastructure.melbourne@acciona.com', 'energy.brisbane@acciona.com', 'energy.community.relations.au@acciona.com', 'emma.reiners@acciona.com', 'energy.melbourne@acciona.com', 'infrastructure.sydney@acciona.com', 'infrastructure.brisbane@acciona.com', 'julian.elliott@acciona.com']",200
"['energy.sydney@acciona.com', 'info@geotech.net.au', 'enquiries.singapore@acciona.com', 'enquiries.australia@acciona.com', 'infrastructure.melbourne@acciona.com', 'energy.brisbane@acciona.com', 'energy.community.relations.au@acciona.com', 'emma.reiners@acciona.com', 'energy.melbourne@acciona.com', 'infrastructure.sydney@acciona.com', 'infrastructure.brisbane@acciona.com', 'julian.elliott@acciona.com']",200
[],200
"['sea.sales@suzlon.com', 'sea.enquiry@suzlon.com']",200
"['nr@original', 'complaints@agl.com.au', 'nr@seenError', 'nr@context', 'nr@wrapped', 'contact@ewosa.com.au', 'customer.solutions@agl.com.au']",200
"['energy.sydney@acciona.com', 'info@geotech.net.au', 'enquiries.singapore@acciona.com', 'enquiries.australia@acciona.com', 'infrastructure.melbourne@acciona.com', 'energy.brisbane@acciona.com', 'energy.community.relations.au@acciona.com', 'emma.reiners@acciona.com', 'energy.melbourne@acciona.com', 'infrastructure.sydney@acciona.com', 'infrastructure.brisbane@acciona.com', 'julian.elliott@acciona.com']",200
[],200
[],200
[],200
[],200
['1qQrTItPcBN2H-38uUezs9KWF@ol.GbiMhY5v'],200
"['info@verbund.at', 'vatha.zrgryxb@ireohaq.pbz', 'jbystnat.flebjngxn@ireohaq.pbz', 'sybevna.frvqy@ireohaq.pbz']",200
['N1_69gz@cRPmZd3M-sfS4nEerkGahQDVFbAHOiBJvxwoUL8y'],200
[],200
[],200
[],200
['info@aspiravi.be'],200
[],200
[],200
"['corporate@edfluminus.be', 'info@luminus.be', 'nico.debie@edfluminus.be']",200
[],200
['pressreleases@franklyinc.com'],200
[],200
[],200
"['corporate@edfluminus.be', 'info@luminus.be', 'nico.debie@edfluminus.be']",200
[],200
['pressreleases@franklyinc.com'],200
['info@aspiravi.be'],200
['info@aspiravi.be'],200
['info@airandenergy.biz'],200
['nr@context'],200
"['info@energyprice.be', 'info@luminus.be']",200
[],200
[],200
[],200
"['corporate@edfluminus.be', 'info@luminus.be', 'nico.debie@edfluminus.be']",200
"['corporate@edfluminus.be', 'info@luminus.be', 'nico.debie@edfluminus.be']",200
['info@aspiravi.be'],200
['michael.pierrot@thewindpower.net'],200
"['the-pulse-@-1-market', 'nr@wrapped', 'nr@context', 'nr@original']",200
