Albany Wind Farm Australia,Australia,Operating Fully,-35.058,117.782,21.6,"12km SW of Albany, Western Australia",Please Select,12,77,2,Please Select,Western Power Corporation,,IPP,,Verve Energy,,,http://en.wikipedia.org/wiki/Albany_Wind_Farm%2C_Western_Australia
Alinta Wind Farm Australia,Australia,Operating Fully,-28.9275,114.942,90,"30 km SE of Geraldton in Western Australia\\\'s Mid-West region, Australia",Please Select,54,367,3.9,Please Select,Tarong Energy,,IPP,,"Alinta, now Babcock and Brown",Australian MRET Scheme,,http://en.wikipedia.org/wiki/Alinta_Wind_Farm%2C_Western_Australia
Blayney Wind Farm Australia,Australia,Operating Fully,-33.6219,149.1994,9.9,"South of Carcoar Lake, South of Blayney, New South Wales, Australia",Please Select,15,,4,Please Select,Eraring Energy,,,Consolidated Power Projects,Eraring Energy (previously called Pacific Power International),,,http://en.wikipedia.org/wiki/Blayney_Wind_Farm%2C_New_South_Wales
Brown Hill Range Wind Farm Australia,Australia,Operating Fully,-33.3876,138.7298,94.5,"15 Km West of Hallett, South Australia",Please Select,45,,,Please Select,,,,Suzlon,AGL,,,http://www.agl.com.au/about/EnergySources/Pages/WindPower.aspx
Cathedral Rocks Wind Farm Australia,Australia,Operating Fully,-34.8548,135.5824,66,"26 km Southwest of Port Lincoln, South Australia",Preserved,33,225,,Please Select,TRUenergy (subsidary of CLP China),50,IPP,,Roaring 40s Renewable Energy Pty Ltd,,,http://en.wikipedia.org/wiki/Cathedral_Rocks_Wind_Farm%2C_South_Australia
Challicum Hills Wind Farm Australia,Australia,Operating Fully,-37.395,143.107,52.5,"Ararat, Western Victoria, Australia",Farmland,35,140,,National Grid,Pacific Hydro,,,,Pacific Hydro,,,http://en.wikipedia.org/wiki/Challicum_Hills_Wind_Farm%2C_Victoria_%28Australia%29
Codrington Wind Farm Australia,Australia,Operating Fully,-38.2873,141.9645,18.2,"Near Port Fairy, Codrington, Victoria, Australia",Grazing Land,14,49,3,Please Select,Pacific Hydro,,IPP,AN Windenergie,Pacific Hydro,,,http://en.wikipedia.org/wiki/Codrington_Wind_Farm%2C_Victoria
Cullerin Range Wind Farm Australia,Australia,Operating Fully,-34.80755,149.40087,30,"30km from Goulburn, New South Wales, Australia",Unused Marginal Land,15,,,Regional Grid,Origin Energy,100,,,Origin Energy,,,http://www.originenergy.com.au/about/who-we-are/what-we-do/generation.html
Emu Downs Wind Farm Australia,Australia,Operating Partially,-30.477,115.333,80,"Near Cervantes about 200 kilometres north of Perth, , Western Australia",Please Select,48,,,Please Select,Transfield Services Infrastructure Ltd. (acquired from Stanwell Corporation and Griffin Energy on 2007-12-05),,,,Transfield Services Infrastructure Ltd.,,,http://en.wikipedia.org/wiki/Emu_Downs_Wind_Farm%2C_Western_Australia
Gunning Wind Farm Australia,Australia,Operating Fully,-34.696,149.377,46.5,"Cullerin Range, approximately 15 km NE of Gunning, Upper Lachlan Shire, New South Wales, Australia",Grazing Land,31,150,,Please Select,Acciona Energy,,,,Acciona Australia,,,http://www.acciona.com.au/businessDivisions/energy/operationalProjects/gunningWindFarm/index.php
Lake Bonney (stage 1)  Wind Farm Australia,Australia,Operating Fully,-37.7712,140.4066,80.5,"2km from the eastern shore of Lake Bonney, South Australia",Please Select,46,,,Please Select,Infigen Energy,,,,Lake Bonney Wind Power Pty. Ltd,Australian MRET Scheme,,http://en.wikipedia.org/wiki/Lake_Bonney_Wind_Farm_%28stage_1%29
Lake Bonney (stage 2)  Wind Farm Australia,Australia,Operating Fully,-37.81,140.41,159,"about 6 km SW of Tantanoola, South Australia",Please Select,53,,,Please Select,Infigen Energy,,,,Lake Bonney Wind Power Pty. Ltd,Australian MRET Scheme,,http://en.wikipedia.org/wiki/Lake_Bonney_Wind_Farm_%28stage_2%29
Lake Bonney (stage 3)  Wind Farm Australia,Australia,Operating Fully,-37.777,140.411,39,"about 6 km SW of Tantanoola, South Australia",Please Select,13,,,Please Select,Infigen Energy,,IPP,,Lake Bonney Wind Power Pty. Ltd,,,http://en.wikipedia.org/wiki/Lake_Bonney_Wind_Farm_%28stage_1%29
Mount Millar Wind Farm Australia,Australia,Operating Fully,-33.6286,136.7022,70,"about 20 km west of Cowell, South Australia",Please Select,35,,,Regional Grid,Meridian Energy (acquired from Transfield Infrastructure Find in 2010),100,State owned by New Zealand Government,Tarong Energy Corporation Ltd,,,,http://en.wikipedia.org/wiki/Mount_Millar_Wind_Farm%2C_South_Australia
Snowtown Wind Farm Australia,Australia,Operating Fully,-33.7155,138.14965,100.8,"9km NW of Snowtown, South Australia, Australia",Mountain Ridge,48,350,,National Grid,TrustPower Ltd New Zealand,,,Suzlon Energy Australia Pty Ltd,Suzlon Energy Australia Pty Ltd,,,http://www.trustpower.co.nz/index.php?section=163  and  http://www.windprospect.com/news?n=35
Starfish Hill  Wind Farm Australia,Australia,Operating Fully,-35.5675,138.128,34.5,"Located across two hills south of Rapid Bay, Starfish and Salt Creek, South Australia",Please Select,23,,,Please Select,"Transfield Services Infrastructure Fund (acquired the wind farm in December 2007 from Tarong Energy, a Queensland government corporation)",,,"Starfish Hill Wind Farm Pty Ltd, a wholly owned subsidiary of Tarong Energy","Starfish Hill Wind Farm Pty Ltd, a wholly owned subsidiary of Tarong Energy",,,http://en.wikipedia.org/wiki/Wind_power_in_South_Australia
Wattle Point Wind Farm Australia,Australia,Operating Fully,-35.1258,137.7126,91,"Wattle Point, near Edithburgh, South Australia",Please Select,55,312,,Please Select,The Australian Gas Light Company (AGL),,,Southern Hydro Pty Limited,The Australian Gas Light Company (AGL),,,http://en.wikipedia.org/wiki/Wattle_Point_Wind_Farm%2C_South_Australia
Waubra Wind Farm Australia,Australia,Operating Fully,-37.352,143.595,192,"Waubra, 35 kilometres north-west of Ballarat, Victoria, Australia",Please Select,128,,,Regional Grid,,,,,Acciona Australia,,,http://www.acciona.com.au/businessDivisions/energy/operationalProjects/waubraWindFarm/index.php
Windy Hill Wind Farm Australia,Australia,Operating Fully,-17.592,145.532,12,"near Ravenshoe on the Atherton Tablelands, Queensland, Australia",Farmland,20,,,Please Select,Transfield Services Infrastructure Ltd. (acquired from Stanwell Corporation and Griffin Energy on 2007-12-05),,,Stanwell Corporation,Transfield Services Infrastructure Ltd,,,http://en.wikipedia.org/wiki/Windy_Hill_Wind_Farm%2C_Queensland
Woolnorth Bluff Point Wind Farm Australia,Australia,Operating Fully,-40.73,144.691,64.75,"Woolnorth, Tasmania, Australia",Please Select,37,,4.2,Please Select,Hydro Tasmania,50,,,Roaring 40s Renewable Energy Pty Ltd,,,http://www.hydro.com.au/system/files/attachments/bluffPoint_Power_Station-Fact-Sheets.pdf
