Atucha 1 Nuclear Power Plant Argentina,Argentina,Operating Fully,-33.9669,-59.20624,357,Pressurized Heavy Water Reactor (PHWR),"Lima, about 160km NW of Buenos Aries, Argentina",National Grid,Nucleoelectrica Argentina SA (NASA),,Government,Siemens-KWU AG,Nucleoelectrica Argentina SA (NASA),,,http://www.iaea.org/programmes/a2/
Embalse Nuclear Power Plant Argentina,Argentina,Operating Fully,-32.2316,-64.44398,648,Pressurized Heavy Water Reactor (PHWR),"Near Embalse, Cordoba, Argentina",National Grid,Nucleoelectrica Argentina SA,100,Government Central,ATOMIC ENERGY OF CANADA LTD and Italimpianti,Nucleoelectrica Argentina SA,ENRE (Ente Nacional Regulador de la Electricidad),,http://www.iaea.org/programmes/a2/   (IAEA PRIS database)
Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Location,Power Grid,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Location,Power Grid,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Armenia (Metsamor) Nuclaer Power Plant Armenia,Armenia,Operating Fully,40.18051,44.1498,376,Pressurized Water Reactor (PWR),"Armavir, Armenia",National Grid,Ministry of Energy and Natural Resources of RA,,Government,,Inter RAO UES (Joint Stock Company Armenian NPP),,,http://www.iaea.org/pris/CountryStatistics/CountryDetails.aspx?current=AM
Doel (Electrabel) Nuclear Power Plant Belgium,Belgium,Please Select,51.325382293772,4.2597011509918,2963,Pressurized Water Reactor (PWR),"Doel, East Flanders, Belgium",National Grid,"Indivision Doel (EBES , INTERCOM , UNERG)",,,"ACECOWEN ( ACEC-COCKERILL-WESTINGHOUSE ) for units 1, 2, and 4, FRAMACECO ( FRAMATOME-ACEC-COCKERILL )) for unit 3",ELECTRABEL M. V. NUCLEAIRE PRODUKTIE,,,http://www.iaea.org/programmes/a2/
Tihange Nuclear Power Plant Belgium,Belgium,Operating Fully,50.534193124402,5.2750521053377,3129,Pressurized Water Reactor (PWR),"Tihange, Belgium",National Grid,SOCIETE BELGO-FRANCAISE D'ENERGIE NUCLAIRE MOSANE. Part of EDF,,,"ACLF ((ACECOWEN - CREUSOT LOIRE - FRAMATOME)) for unit 1, FRAMACEC (FRAMACECO ( FRAMATOME-ACEC-COCKERILL )) for unit 2, ACECOWEN (ACECOWEN ( ACEC-COC",ELECTRABEL M. V. NUCLEAIRE PRODUKTIE,,,http://www.iaea.org/programmes/a2/  (IAEA PRIS Database)
Angra Nuclear Power Plant Brazil,Brazil,Operating Fully,-23.00773,-44.4588,2007,Pressurized Water Reactor (PWR),"Itaorna Beach, Rio de Janeiro, Brazil",National Grid,Eletrobras Eletronuclear S.A.  - ELETRONUCLEAR,100,Government,Westinghouse and SIEMENS KRAFTWERK UNION AG,Eletrobras Eletronuclear S.A.  - ELETRONUCLEAR,,,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant
Kozloduy Nuclear Power Plant Bulgaria,Bulgaria,Operating Fully,43.7428,23.7756,2000,Pressurized Water Reactor (PWR),"Kozloduy on the Danube, Bulgaria",Please Select,Bulgarian Energy Holding EAD (BEH EAD),100,Government,AEE (ATOMENERGOEXPORT),KOZNPP (KOZLODUY NPP-plc),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS Database)
Bruce Nuclear Power Plant Canada,Canada,Operating Fully,44.3383,-81.5729,3260,Pressurized Heavy Water Reactor (PHWR),"Located on the shores of Lake Huron, roughly 250 kilometres northwest of Toronto, Ontario, Canada",Regional Grid,Bruce Power,100,,NEI.P (NEI PARSONS),Bruce Power,,,IAEA PRIS database
Darlington Nuclaer Power Plant Canada,Canada,Please Select,43.869229921363,-78.724235621556,3736,Please Select,"On Lake Ontario, Municipality of Clarington in Durham Region, 70 km east of Toronto, Ontario, Canada",Please Select,ONTARIO HYDRO,,,OH/AECL (ONTARIO HYDRO / ATOMIC ENERGY OF CANADA LTD.),Ontario Power Generation,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Gentilly Nuclear Power Plant Canada,Canada,Please Select,46.392766381172,-72.355270385742,675,Please Select,"Betancour, Quebec, Canada",Please Select,Hydro Quebec,,,BBC (BROWN BOVERI ET CIE),Hydro Quebec,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Pickering A Nuclear Power Plant Canada,Canada,Operating Fully,43.8096,-79.0693,2168,Pressurized Heavy Water Reactor (PHWR),"North shore of Lake Ontario in Pickering, Ontario, Canada",Regional Grid,Ontario Hydro,100,Government Provincial,OH/AECL (ONTARIO HYDRO / ATOMIC ENERGY OF CANADA LTD.),Ontario Power Generation,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Pickering B Nuclear Power Plant Canada,Canada,Operating Fully,43.8088,-79.0641,2160,Pressurized Heavy Water Reactor (PHWR),"North shore of Lake Ontario in Pickering, Ontario, Canada",Please Select,Ontario Hydro,100,,OH/AECL (ONTARIO HYDRO / ATOMIC ENERGY OF CANADA LTD.),Ontario Power Generation,,,www-pub.iaea.org/MTCD/publications/PDF/RDS2-26_web.pdf
Point Lepreau Nuclear Power Plant Canada,Canada,Please Select,45.068668675712,-66.454215642127,680,Please Select,"Point Lepreau, New Brunswick, Canada",Please Select,NEW BRUNSWICK ELECTRIC POWER COMMISSION,,,AECL (ATOMIC ENERGY OF CANADA LTD.),New Brunswick Power,,,IAEA PRIS database
Changjiang Nuclear Power Plant China,China,Operating Fully,19.46075,108.899917,1200,Pressurized Water Reactor (PWR),"Changjiang, Hainan, China",Regional Grid,China National Nuclear Corporation,,,,Hainan nuclear power company,,,
China Experimental Fast Reactor (CEFR),China,Operating Fully,39.7406,116.0302,20,Fast Neutron Reactor (FNR),"the China Institute of Atomic Energy, Beijing, China",Regional Grid,China National Nuclear Corporation (CNNC),100,Government,"OKBM Afrikantov, OKB Gidropress, NIKIET, Kurchatov Institute",China Institute of Atomic Energy,,,http://www.iaea.org/programmes/a2/
Fangchenggang Nuclear Power Plant China,China,Operating Partially,21.67083,108.558333,2000,Pressurized Water Reactor (PWR),"Hongshacun Village, Guangxi Zhuang, China",Regional Grid,China Guangdong Nuclear Power Co (CGNPC),,,,Guangxi Fangchenggang Nuclear Power Group,,,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN
Fangjiashan Nuclear Power Plant China,China,Operating Fully,30.44134,120.94176,2000,Pressurized Water Reactor (PWR),"Zhejiang, Chin",Regional Grid,China National Nuclear Corporation (CNNC),,,,QINSHAN NUCLEAR POWER COMPANY,,,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN
Fuqing Nuclear Power Plant China,China,Operating Fully,25.44062,119.44164,4356,Pressurized Water Reactor (PWR),"Fuqing, Fujian, China",Regional Grid,China National Nuclear Corporation (CNNC),100,,,"CNNC Fujian Fuqing Nuclear Power co.,LTD",,,
Guangdong (Daya Bay) Nuclear Power Plant China,China,Operating Fully,22.5977,114.5433,1968,Pressurized Water Reactor (PWR),"Guangdong, China",Regional Grid,China National Nuclear Corporation (CNNC),,,General Electric Company (GEC),China Guangdong Nuclear Power Corporation (CGNPC),,,http://en.wikipedia.org/wiki/Daya_Bay_Nuclear_Power_Plant
Hongyanhe Nuclear Power Plant China,China,Operating Fully,39.797,121.4765,4244,Pressurized Water Reactor (PWR),"Donggang Town, Wafangdian, Liaoning, China",Regional Grid,China General Nuclear Power Co (CGNPC),45,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (Lhnpc),,,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN
Lingao Nuclear Power Plant China,China,Operating Fully,22.605,114.5515,3980,Pressurized Water Reactor (PWR),"Guangdong, China",Regional Grid,China National Nuclear Corporation (CMNC),,,Framatome (Fram),Lingao Nuclear Power Company Limited (LANPC),,,http://world-nuclear.org/info/inf68.htm
Ningde Nuclear Power Plant China,China,Operating Fully,27.044,120.284,4320,Pressurized Water Reactor (PWR),"Beiwan village, Qinyu, Fuding, Ningde, Fujian",Regional Grid,China Guangdong Nuclear Power Holding Co Ltd,,,"CNNC, Tianjin Electric Power Construction, SEPCO",Fujian Ningde Nuclear Power Co Ltd (NDNP),,,http://www.iaea.org/pris/CountryStatistics/ReactorDetails.aspx?current=921
Qinshan Nuclear Power Plant China,China,Operating Fully,30.4358,120.9593,4310,Pressurized Water Reactor (PWR),"Zhejiang, China",Regional Grid,China National Nuclear Corporation (CNNC),100,Government,"CNNC, CNNC, CNNC, AECL, AECL","QNPC, NPQJVC, NPQJVC (NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.), TQNPC, TQNPC",,,http://www.iaea.org/programmes/a2/  PRIS Database
Tianwan (Jiangsu) Nuclear Power Station China,China,Operating Fully,34.686439880696,119.45863723755,2000,Pressurized Water Reactor (PWR),"Tianwan, Jiangsu, China",National Grid,Jiangsu Nuclear Power Corporation,,Government of China,AO Atomenergoeksport (AEE) and VPO Zarubezhatomenergostroy (ZAES) of Russia,Jiangsu Nuclear Power Corporation,,,http://www.iaea.org/programmes/a2/
Yangjiang Nuclear Power Station China,China,Operating Fully,21.70833,112.261111,4320,Pressurized Water Reactor (PWR),"Dongping Town, Yangjiang City, Guangdong, China",Regional Grid,Guangdong Nuclear Power Joint Venture Company (GNPJVC),,,,Yangjiang Nuclear Power Co. Ltd,,,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN
Dukovany Nuclear Power Plant Czech Republic,Czech Republic,Please Select,49.084845148232,16.147868992384,1760,Please Select,,Please Select,Ceske Energeticke Zavody  (CEZ),,,SKODA CONCERN NUCLEAR POWER PLANT WORKS,Ceske Energeticke Zavody  (CEZ) ,,,http://www.iaea.org/programmes/a2/
Temelin Nuclear Power Plant Czech Republic,Czech Republic,Please Select,49.181092160059,14.374925255169,2026,Please Select,"Temelin, Czech Republic",Please Select,Czech Power Company (CEZ),,,SKODA CONCERN NUCLEAR POWER PLANT WORKS,Czech Power Company (CEZ) ,,,http://www.iaea.org/programmes/a2/  (IAEA PRIS Database)
Loviisa Nuclear Power Plant Finland,Finland,Operating Fully,60.3708,26.3468,976,Pressurized Water Reactor (PWR),Finland,National Grid,Fortum Power And Heat Oy,100,,AEE (ATOMENERGOEXPORT),Fortum Power & Heat Oy (FORTUMPH),,,http://world-nuclear.org/info/inf76.htm
Olkiluoto (TVO) Nuclear Power Plant Finland,Finland,Operating Fully,61.2371,21.4433,1920,Boiling Water Reactor (BWR),Finland,National Grid,Teollisuuden Voima Oy (TVO),100,,ASEASTAL (ASEA-ATOM / STAL-LAVAL),Teollisuuden Voima Oy (TVO),,,http://world-nuclear.org/info/inf76.htm
Belleville Nuclear Power Plant France,France,Operating Fully,47.510295,2.87505,2726,Pressurized Water Reactor (PWR),"Belleville s/ Loire, Cher, France",National Grid,Electricite de France (EdF),,Private (joint venture),"EDF, GTM",Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Blayais Nuclear Power Plant France,France,Operating Fully,45.256,-0.6932,3640,Pressurized Water Reactor (PWR),"Gironde, France",National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://world-nuclear.org/info/inf40.html
Bugey Nuclear Power Plant France,France,Operating Fully,45.797318126924,5.2706118901054,3724,Pressurized Water Reactor (PWR),"Bugey, Ain, France",National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.uic.com.au/nip28.htm
Cattenom Nuclear Power Plant France,France,Operating Fully,49.416045342815,6.216942304456,5448,Pressurized Water Reactor (PWR),"Moselle, France",National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.uic.com.au/nip28.htm
Chinon Nuclear Power Plant France,France,Operating Fully,47.225356332147,0.16555776997416,3816,Pressurized Water Reactor (PWR),"Chinon, France",National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.uic.com.au/nip28.htm
Chooz Nuclear Power Plant France,France,Operating Fully,50.09,4.789444444,3120,Pressurized Water Reactor (PWR),Ardennes,National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Civaux Nuclear Power Plant France,France,Operating Fully,46.456338030287,0.65480795687439,3122,Pressurized Water Reactor (PWR),Civaux,National Grid,Electricite de France (EdF),,,,Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
