Brand,Name,Price,Shipping
ASUS,ASUS GeForce GTX 1070 Ti CERBERUS-GTX1070TI-A8G-GAMING Video Card,"|
$499.99 
            
–",$4.99 Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 4G OC Video Card,"|
$259.99 (2 Offers)

–",$4.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 560 DirectX 12 GV-RX560GAMING OC-4GD REV2.0 Video Card,"|
$132.99 
            
–",$3.99 Shipping
ZOTAC,"ZOTAC GeForce GTX 1080 AMP! Edition, ZT-P10800C-10P, 8GB GDDR5X IceStorm Cooling, Metal Wraparound Carbon ExoArmor Exterior, Ultra-wide 100mm Fans, Spectra Lighting, PowerBoost, FREEZE Fan Stop","|
$559.99 (11 Offers)

–",$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti FTW3 DT DirectX 12 11G-P4-6694-KR Video Card,"|
$789.99 (2 Offers)

–",$4.99 Shipping
ASUS,ASUS Dual series GeForce GTX 1060 DUAL-GTX1060-O3G Video Card,"|
$229.99 (6 Offers)

–",Free Shipping
MSI,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G Video Card,"|
$489.99 (3 Offers)

–",$4.99 Shipping
ZOTAC,"ZOTAC GeForce GTX 1080 Mini, ZT-P10800H-10P, 8GB GDDR5X IceStorm Cooling, Dual Fans, 90mm Pressure Optimized Fan, 100mm Maximum Airflow Optimized Fan, Direct GPU Copper Block Contact, Metal Back Plate","|
$549.99 (7 Offers)

–",$4.99 Shipping
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,"|
$289.99 (3 Offers)

–",$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-3GD 2.0 Video Card,"|
$224.99 (3 Offers)

–",Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card,"|
$559.99 (2 Offers)

–",$4.99 Shipping
GIGABYTE,"GIGABYTE GeForce GTX 1080 AORUS 8GB DirectX 12 GV-N1080AORUS-8GD R2 256-Bit GDDR5X PCI Express 3.0 x16 Video Card, GV-N1080AORUS-8GD R2","|
$569.99 (4 Offers)

–",$4.99 Shipping
