First Name,Second Name,Company,Position,Description,Tags
Aurélie,Pols,,Data Governance and Privacy Engineer and Co-Chair for IEEE P7002 standard for Data Privacy Process,,
Daniel,Yellin,,"Vice President, Mobile and an IBM Distinguished Engineer, IBM","Dr. Daniel M. Yellin is Vice President, Mobile and an IBM Distinguished Engineer. He is responsible for IBM Mobile Foundation and Cloud Mobile Services. These offerings are helping enterprises on their digital transformation journey, to reach new customers and engage them in novel ways, and to streamline internal business processes. Daniel is also responsible for the IBM Software Development Lab in Israel.   Previously Daniel was Director of Software Technology at the IBM T. J. Watson Research Center, and before that he was the Manager of IBM’s Insurance Application Architecture Team. Dr. Yellin joined IBM in 1987 after completing a doctorate in computer science at Columbia University. He has authored over 30 journal and conference papers as well as two computer science books and has held numerous positions in professional associations.",The Digital Consumer
Doug,Chavez,,,"Doug is a marketing business leader with a track record of building and leading high-performance digital marketing teams. He has consistently lead teams to deliver creative marketing solutions that have delivered exceptional business results. Doug has guided digital marketing strategy for some of the world’s most iconic brands, such as Banana Republic, Del Monte Foods and McDonald’s. Doug is passionate about helping brands navigate the intersection of media and technology to define integrated marketing strategies using data and insights to build omnichannel marketing programs across traditional media, mobile, social, content, search and CRM.

Doug’s leadership and achievements have garnered several industry awards, such as Cannes Cyber Lion, Yahoo!’s Big Idea Chair, Effie, and a London International Award. Doug frequently speaks at industry events such as iMedia, OMMA, IAB, ANA and CEB. Doug’s thought-leadership, insights and articles have appeared in various online publications such as Forbes, AdExchanger, and MediaPost, where is a regular contributor.",mBanking/FinanceLocation Based ServicesThe Digital Consumer
Greg,Day,,"VP & CSO, EMEA at Palo Alto Networks","Greg Day is Vice President and Regional Chief Security Officer, EMEA, at Palo Alto Networks. In this role, he oversees Palo Alto Networks regional security operations and is responsible for regional cybersecurity strategy and the development of threat intelligence, security best practices and thought leadership for Palo Alto Networks in EMEA.",Future Services Provider
Jay,Allen,,"European Technical Sales Leader for Endpoint and Mobility, IBM","Jay is the European Technical Sales Leader for Endpoint and Mobility at IBM Security, and one the worldwide subject matter experts for IBM MaaS360. He leads the field Technical specialists who cover deployment, implementation and enablement of IBM's Endpoint and Mobile Security Products. Jay also acts as a Technology Evangelist for the MaaS360 UEM offering demonstrating the capabilities and value to all levels of the our client and partner organisations, from operations to C suite level. He also represents IBM as speaker and Thought Leader at industry events, conferences and trade shows.",The Digital Consumer
Jessica,Douglas,,"Executive Partner, IBM iX, GDPR, IBM","Jessica  leads IBM's market and client response to the General Data Protection Regulation (the GDPR) for the UK and Ireland. She and her team of privacy, security, cognitive analytics and customer experience experts are working with clients to address the GDPR imperative. Jessica is a Partner in IBM's IX and Digital Strategy practice whose primary focus is on transforming customer experience with her clients in banking, insurance, wealth and financial markets. Jessica starts from the premise that financial institutions that put customers first build sustained success. She brings experience and expertise in Digital and Mobile Innovation, Sales and Marketing, and Customer Relationship Management and Data and Analytics. As well as banking experience, Jessica draws on strategy through delivery experience in CPG and Pharma to help clients address these challenges to deliver sustained customer and business results.",The Digital Consumer
Jesús,Pinar,,Consultant,,
Lubna,Dajani,,,"Lubna is an internationally known executive, systems designer and industry expert recognized for her unique blend of foresight and expertise in innovation and high growth.  As a futurist who inspires new thinking and disruptive business models, she has created and writes about the Allternet;  a visionary manifesto discussing the implications of when all people, products and places are connected, aware and addressable.  Lubna serves as mentor to NYC Seed Fund, and Springboard Enterprises and is the founding Secretary of the Open Trust Protocol Alliance.  She is also advisor and board member of MusicTechFest, and  AEC Hackathon, Lubna is a Visiting Scholar at NYU Steinhardt.",Big Data & AnalyticsEnterprise & Business ITCloud ServicesThe Fourth Industrial Revolution
Matt,Anderson,,Chief Digital Officer and President of Arrow Electronics,"Matt Anderson is Chief Digital Officer and President of Arrow Electronics.  He leads the continued buildout of Arrow's digital strategy and new online operating model including eCommerce, cloud enablement, digitization, SaaS, technical media, and multi-channel sales. 

 

Prior to joining Arrow, Matt was the CDO of Hibu/Yell and led the development of a new digital marketing services offering across owned media, digital marketing, and local media that became a $750M business.  

Matt was also a Partner and VP at Booz & Co. where he led global eCommerce in the consumer, media, and technology practice. There he worked with companies such as Dell.Com, Gilt.com, FedEx, 1&1 Internet.  He holds a double major from the University of Pennsylvania in Economics and International relations.",The Digital Consumer
Steve,Brumer,151 Advisors,Partner,"With over 30 years+ industry experience, Steve Brumer leads the IoT Practice at 151 Advisors – a global advisory and execution firm that advises companies on establishing new market positions and accelerating the growth of it’s products, services and revenue.

Brumer’s specialty is Monetizing the Connected World. Creating real-world executable plans that drive revenue growth in new or existing markets to enable companies to realize their full commercial potential.

Before joining 151 Advisors, Brumer co-founded and served as CEO of Wireless Rain which helped wireless carriers, manufacturers and solution providers build channel programs for B2B products, M2M products, and professional services.

Prior to Wireless Rain, Brumer co-founded and served as President of Global Wireless Data, a national master dealer and value-added distributor of wireless products and services. Under his tenure, GWD grew from a self-funded start-up to 184 on the INC 500 as the largest Master Dealer for AT&T Wireless, Verizon Wireless, T-Mobile and Sprint.

Earlier in his career, Brumer founded and served as CEO of Wireless Data Corp, and has held various executive management positions at Millicom, RAM Mobile Data and BellSouth Wireless.",Innovation
