NAME,COMPANY,POSITION
Aurélie Pols,,Data Governance and Privacy Engineer and Co-Chair for IEEE P7002 standard for Data Privacy Process
Daniel M Yellin,,"Vice President, Mobile and an IBM Distinguished Engineer, IBM"
Doug  Chavez,,
Greg Day,,"VP & CSO, EMEA at Palo Alto Networks"
Jay Allen,,"European Technical Sales Leader for Endpoint and Mobility, IBM"
Jessica Douglas,,"Executive Partner, IBM iX, GDPR, IBM"
Jesús  Moreno Pinar,,Consultant
Lubna Dajani,,
Matt Anderson,,Chief Digital Officer and President of Arrow Electronics
Steve Brumer,151 Advisors,Partner
Balazs  Bertenyi,3GPP,"Chairman, TSG RAN"
Ian Hughes,451 Research,"Senior Analyst, Internet of Things"
Mari Tangredi,4INFO,"SVP & GM, Audience Solutions"
Yossi Vardi,4YFN,Chairman
Stuart Revell,5GIC,External Engagement Advisor
Stuart Carlaw,ABI Research,Chief Research Officer
David Ventzel,Accelerace,Partner & Investment Director
Bob Sell,Accenture,"Group Chief Executive – Communications, Media  & Technology"
Emma McGuigan,Accenture,"Group Technology Officer,  Communications, Media & Technology"
Gary Heffernan,Accenture,"Senior Managing Director - Communications, Media & Technology for Europe"
Mike  Sutcliff,Accenture Digital,Group CEO
Ronan  Wisdom,"Accenture, Connected Health",MD
Claude Achcar,Actel Consulting,MD
Nico Goulet,Adara Ventures,Partner
Amit Ahuja,Adobe Experience Cloud,"VP, Emerging Businesses"
James Buchanan,ADVA,SVP & GM Ensemble
David Grant,Aerial Technologies,CEO
Beatrice  York,Afiniti,"Vice President, Partnerships & Strategy"
Pierre  Guislain,African Development Bank Group (AfDB),"VP, Private Sector, Infrastructure and Industrialisation"
Suman Kanuganti,Aira,CEO
Dr. Alexander Goldin,Alango Technologies Ltd.,Founder & CEO
Min  Wanli,Alibaba Cloud,Chief Data Scientist
John Gee,Alphonso,"SVP, Business Development"
Brian Huseman,Amazon,"VP, Public Policy"
Ned Curic,Amazon Alexa,"VP, Automotive"
Ragu  Masilamany,Amdocs,VP & Head of ECOMP/ONAP
Daniel Saks,AppDirect,President & Co-CEO
Paul  Williamson,ARM,"VP & GM, IoT Device IP"
Andre Fuetsch,AT&T;,CTO
Bill Hague,AT&T;,"EVP, Global Connection Management AT&T; Mobility"
Chris Penrose,AT&T;,"President, IoT Solutions"
Carme Fabregas,"ATM (Autoritat del Transport Metropolitá), Barcelona",CTO
Jeremy Fox,"Atrium TV and Chairman, DRG",CEO
Johannes  Gungl,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR),"CEO, Telecommunications and Postal Services Division & Chairman, BEREC 2018"
Jayant Kulkarni,Award Solutions,
Mark Harms,Award Solutions,
Bill Best,Azenby,CEO
Johnny  Ghibril,B.Yond,VP Technology Solutions
Jennifer Pigg  Clark,Battle Green Research,General Manager
Sasha Twining,BBC,Presenter
Petri Lyytikainen,Bell Canada,"VP Network Strategy, Services & Management"
Harmeen Mehta,Bharti Airtel Limited,Global CIO & Director Engineering
Sunil Bharti Mittal,Bharti Enterprises,"Chairman, GSMA and Founder and Chairman"
Dieter  May,BMW,"SVP, Digital Services & Business Models"
Derek Peterson,Boingo Wireless,CTO
Benjamin Parry,Bombardier Trains,Project Lead
Benjamin Levy,BootstrapLabs,Co-Founder
Wolfgang Bock,Boston Consulting Group,Managing Partner
Ilker Koksal,Botanalytics,CEO & Co-Founder
Jeffrey  Bower,Bower & Partners Consulting Services,Principal & Owner
Christopher R. Smith,BrandSmith,Founder & CEO
Marissa Aydlett,Braze (formerly Appboy),"SVP, Marketing"
Chris Blundell,Brunswick Group,Partner & Head of Global TMT Practice
Mansoor Hanif,BT,"Director of Converged Networks, Research and Innovation"
Gavin Patterson,BT Group,CEO
Andrew  Haworth,BT Sport,"MD, Content & Strategy"
Dave McLauchlan,Buddy Platform,CEO
Mariano Silveyra,Cabify,"Country Manager, Iberia"
Carlos Alberto  Moltini,Cablevision,CEO Telecom Argentina S.A and General Manager & CEO of Cablevisión Holding S.A
Carles Solé,CaixaBank,CISO
Pere Nebot,CaixaBank,Chief Information Officer
Mahadev Satyanarayanan,Carnegie Mellon,AI Professor
Ben Wood,CCS Insight,Chief of Research
Bojana Bellamy,Centre for Information Policy Leadership (CIPL),President
Bo  Ji,Cheung Kong Graduate School of Business (Europe),Chief Representative & Assistant Dean
Dr. Qi Bi,China Telecom,"President, China Telecom Technology Innovation Center"
Marieke Flament,Circle,"MD, Europe"
Alok Gera,Cisco,"CTO, Service Provider Platform & Applications"
Anoop  Nannra,Cisco,Chairman of the Trusted IoT Alliance & Head of Blockchain Initiatives
Kishen Mangat,Cisco,VP & GM Mobility Business Group
Jose Van Dijk,Cisco Services,Vice President and Chief of Staff
Naveed  Sultan,Citi,Global Head of Treasury and Trade Solutions
Yolande  Piazza,Citi FinTech,Chief Executive Officer
Mike Krygier,City of New York,Deputy CISO
Kamzy Gunaratnam,City of Oslo,Deputy Mayor
Dora Petranyi,CMS,"MD, Central Eastern Europe"
Alfonso Gomez,Colombia Telecomunicaciones S.A. ESP,President (CEO)
Rui Costa,Comcast,"Vice President, Product Management & Customer Experience"
Mike Brobston,CommScope Mobility Solutions,"Director of Advanced Technology, RF Products"
Juan Carlos  Archila,Comunicacion Celular S.A (Comcel S.A),President
Claire Maslen,Consult Hyperion,CMO
David Birch,Consult Hyperion,Director of Innovation
David Rogers,Copper Horse Solutions,CEO
David Barroso,CounterCraft,Co-Founder & CEO
Kat Megas,Cybersecurity for the Internet of Things ,Program Manager 
Peter Ohnemus,Dacadoo,CEO
Wilko Stark,Daimler,VP
Kevin Shatzkamer,Dell EMC ,"Vice President, Service Provider Strategy and Solutions"
Paul Lee,Deloitte LLP,"Partner, Technology, Media & Telecommunications, Clients & Markets"
Sam Evans,Delta Partners,Senior Principal
Tobias  Feakin,"Department of Foreign Affairs and Trade, Austrailia",Australian Ambassador for Cyber Affairs
Bruno Jacobfeuerborn,Deutsche Telekom,Group CTO
Wolfgang Kopf,Deutsche Telekom AG,"Senior VP, Group Public and Regulatory Affairs"
Eduardo  Mauricio Agudelo,Development Bank of Latin America (CAF) ,Senior Telecom and ICT Specialist 
Sandra De Zoysa,Dialog Axiata,Group Chief Customer Officer
Bryan Kane,Digicel,IoT Business Development Manager
Tony Poulos,Disruptive.Asia,Managing Editor
Magnus Jern,DMI,Chief Innovation Officer
Dr. Asher Hasan,DoctHers,Managing Director
Dr. Dave Ranyard,Dream Reality Interactive,CEO
Leif Bohlin,eBuilder,CEO
Hayim Porat,ECI Telecom,CTO
Geoff  Ramsey,eMarketer,Chief Innovation Officer & Co-Founder
José Juan Lorenzo,"EPEL - Centers of Arts, Culture and Tourism of Lanzarote",CEO
Börje Ekholm,Ericsson,President & CEO
Elaine Weidman-Grunewald,Ericsson,"Head of Ericsson Response, SVP, Chief Sustainability & Public Affairs Office"
Erik Ekudden,Ericsson,Group CTO and Head of Technology & Architecture 
Fredrik Jejdling,Ericsson,VP & Head of Business Area Networks
Pernilla Jonsson,Ericsson,Head of Consumer Lab
Rafiah Ibrahim,Ericsson,Senior VP and Head of Market Area Middle East & Africa
Ulf Ewaldsson,Ericsson,SVP & Head of Business Area Digital Services 
Luis Vives,ESADE,Associate Professor
Dr. Ahmed Bin  Ali,Etisalat,SVP Corporate Communications & Official Spokesperson
Hatem  Bamatraf,Etisalat,Group CTO
Kamal Al Shehadi,Etisalat,Chief Legal & Regulatory Officer
Andrus Ansip,European Commission,VP of the Commission and Commissioner for Digital Single Market
Mariya  Gabriel,European Commission,Commissioner for Digital Economy and Society
Apostolos Malatras,European Union Agency for Network & Information Security,Network and Information Security Expert
Karel Obluk,Evolution Equity,Partner
Stephen  Buck,Evolved Intelligence,Product Director
Alison Wedgwood,eWATERpay Ltd,CEO
Godfrey  Mutabazi,Executive Director (CEO),Uganda Communications Commission (UCC)
Tormod Larsen,ExteNet Systems,"Vice President, Chief Technology Officer"
Janet Balis,EY,"Partner/Principal, Global Advisory Leader for Media & Entertainment"
Alison Kay,EY UK,Global Vice Chair - Industry
Jason Juma-Ross,Facebook,APAC Head of Tech & Telecom Strategy
Julien Decot,Facebook,"Director of Product Partnerships, EMEA"
Uche  Ofodile,Facebook,"Regional Head, Africa"
Ebele Okobi,"Facebook, Inc.","Head of Public Policy, Africa"
Bum Jun Lee,Fairip,CEO
Mike Lee,FarEasTone,Executive Vice President 
Ghela Boskovich,FemTech Global,Founder
Jit Bhattacharya,Fenix International,CTO
Ed Richards,Flint Global,Managing Partner
Stephen Stokols,FreedomPop,Founder & CEO
Carsten Ahrens,G&D;,CEO
Carsten Ahrens,Giesecke & Devrient ,Group Senior Vice President 
Kim  Faura,giffgaff,Chief Commercial Officer
Peter Jarich,Global Data,Chief Analyst
Claire Melamed,Global Partnership for Sustainable Development Data (GPSDD),"Executive Director, Data4sdgs"
Joerg  Brinkmeyer,Globe UAV GmbH ,
Talia Wise,Globetouch,"Associate VP, Marketing"
Brigitte  Baumann,Go Beyond Early Stage Investing,Founder & Chief Investment Officer
Nick Fox,Google,"VP, Product Management"
Jonas Allen,Green Electronics Council,
Afke Schaart,GSMA,Head of Europe
Brett Tarnutzer,GSMA,Head of Spectrum
Daniel  Pataki,GSMA,"Vice President, Policy and Regulation"
Graham Trickey,GSMA,Head of Internet of Things
Ian Smith,GSMA,IoT Security Lead
Jeanine Vos,GSMA,Head of SDG Accelerator - Big Data for Social Good
John Guisti,GSMA,Chief Regulatory Officer
Laxmi Akkaraju,GSMA,Chief Strategy Officer
Mats Granryd,GSMA,Director General
Max Cuvellier,GSMA,"Head, Ecosystem Accelerator"
Ronda Zelezny-Green,GSMA,Policy & Regulation Training Delivery Director
Sebastián Cabello,GSMA,Head of Latin America
Aruna Srinivasan,GSMA Internet of Things,Executive Director for Industry Engagement 
John Hoffman,GSMA Ltd.,CEO
Andrea Sommer,Hiver,Founder & CEO
Carlota Pi Amorós,Holaluz,Co-Founder
Peter Bithos,HOOQ,CEO
Peter  Hopwood,Hopwood Communications,Founder 
