Word,Audio,Category
Aaron,,
abolish,https://upload.wikimedia.org/wikipedia/commons/a/ad/En-us-abolish.ogg,verb
above,https://upload.wikimedia.org/wikipedia/commons/b/b9/En-us-above.ogg,preposition
Abraham,,
absent,https://upload.wikimedia.org/wikipedia/commons/2/2f/En-us-absent.ogg,adjective
absolute,https://upload.wikimedia.org/wikipedia/commons/a/ae/En-us-absolute.ogg,adjective
absorb,https://upload.wikimedia.org/wikipedia/commons/1/1b/En-us-absorb.ogg,verb
absorbent,https://upload.wikimedia.org/wikipedia/commons/4/45/En-us-absorbent.ogg,adjective
abstract,,
accomplish,https://upload.wikimedia.org/wikipedia/commons/7/75/En-us-accomplish.ogg,verb
accumulate,https://upload.wikimedia.org/wikipedia/commons/f/f7/En-us-accumulate.ogg,verb
acoustic,https://upload.wikimedia.org/wikipedia/commons/a/ac/En-us-acoustic.ogg,adjective
active,https://upload.wikimedia.org/wikipedia/commons/2/27/En-us-active.ogg,adjective
addict,,
addictive,,
adds,https://upload.wikimedia.org/wikipedia/commons/7/78/En-us-adds.ogg,noun
administrative,https://upload.wikimedia.org/wikipedia/commons/e/e9/En-us-administrative.ogg,adjective
admire,https://upload.wikimedia.org/wikipedia/commons/3/35/En-us-admire.ogg,verb
admires,,
admits,,
adopt,https://upload.wikimedia.org/wikipedia/commons/9/94/En-us-adopt.ogg,verb
adopted,,
adore,https://upload.wikimedia.org/wikipedia/commons/c/cc/En-us-adore.ogg,verb
advertise,,
affordable,,
against,https://upload.wikimedia.org/wikipedia/commons/1/13/En-us-against.ogg,preposition
agony,https://upload.wikimedia.org/wikipedia/commons/0/09/En-us-agony.ogg,noun
agreeable,https://upload.wikimedia.org/wikipedia/commons/c/c6/En-us-agreeable.ogg,adjective
aided,https://upload.wikimedia.org/wikipedia/commons/5/5b/En-us-aided.ogg,verb
aim,https://upload.wikimedia.org/wikipedia/commons/d/d3/En-us-aim.ogg,noun
Al,,
algae,,
alien,https://upload.wikimedia.org/wikipedia/commons/3/39/En-us-alien.ogg,noun
align,,
almond,https://upload.wikimedia.org/wikipedia/commons/c/c7/En-us-almond.ogg,noun
alpha,https://upload.wikimedia.org/wikipedia/commons/7/72/En-us-alpha.ogg,noun
already,https://upload.wikimedia.org/wikipedia/commons/a/a8/En-us-already.ogg,adverb
alter,https://upload.wikimedia.org/wikipedia/commons/b/b8/En-us-altar.ogg,verb
although,https://upload.wikimedia.org/wikipedia/commons/c/c8/En-us-although.ogg,conjunction
among,https://upload.wikimedia.org/wikipedia/commons/d/da/En-us-among.ogg,preposition
amp,,
amputate,https://upload.wikimedia.org/wikipedia/commons/6/6f/En-us-amputate.ogg,verb
amuse,,
angle,https://upload.wikimedia.org/wikipedia/commons/1/11/En-us-angle.ogg,noun
Anne,,
annoy,https://upload.wikimedia.org/wikipedia/commons/0/08/En-us-annoy.ogg,verb
anoint,,
antenna,https://upload.wikimedia.org/wikipedia/commons/f/f1/En-us-antenna.ogg,noun
antique,https://upload.wikimedia.org/wikipedia/commons/3/3c/En-us-antique.ogg,adjective
