a,"A is used when the following word could be any of a certain type.

Synonyms: one, any and each"
Aaron,
abandon,"If you abandon something, you go away from it with no plan to return."
able,"If someone is able to do something, he can do it."
abolish,"When you abolish something, you end it by making it invalid or illegal. You usually use the word ""abolish"" in regard to laws or actions."
about,You use about to say what subject something is related to.
above,"If A is above B, A is higher than or before B, but not touching B."
Abraham,
absent,"If something is absent, it means to be not in a place or missing."
absolute,"An absolute is something that will always exist.

Synonym: none"
absorb,"If something is absorbed, it is sucked or soaked up .

Synonyms: draw, imbibe and suck"
absorbent,"If something is absorbent, it can soak up liquid.

Synonym: absorptive"
abstract,"If something is abstract, you cannot touch it, and it is difficult to imagine or think about."
absurd,Something absurd is ridiculous and stupid.
abuse,Abuse is touching or acting towards someone in a way that will likely hurt them.
abusive,"If someone is abusive, he is violent and abuses  others."
accomplish,"If you accomplish something, you succeed in doing it."
accumulate,"If you accumulate something, you bring it together."
achieve,"If you achieve success or a goal, you have completed what you planned to do or have a good result."
acoustic,Related to hearing or sounds.
across,"To the other side.

Synonym: over"
act,"&  If you act in some way, you do something that makes people think you are that way.

Synonyms: do, work and behave"
acted,The past tense and past participle of act.
active,Something is active if it is turned on or started.
activity,"When a person or animal has activity, it is active or lively."
actress,A female actor.
acute,"If an angle is acute, it is less than 90 degrees in size.

Antonym: obtuse"
adapt,"If you adapt to changes, conditions, needs, etc., you change to fit them."
add,"If you add 



x


{\displaystyle x}

 to 



y


{\displaystyle y}

, you put 



x


{\displaystyle x}

 and 



y


{\displaystyle y}

 together."
addict,"An addict is someone who is addicted to something, most often to a harmful drug.

Synonyms: junkie and slave"
addictive,"If something is addictive, it is hard to stop doing it."
address,An address is the location where a building is or where a person lives.
adds,The third-person singular form of add.
adjust,"If you adjust something, you change it a little so that it fits or works better."
administrative,"administrative (comparative more administrative, superlative most administrative)
Of or relating to administering or administration.
"
admire,"If you admire something, you like it very much."
admires,The third-person singular form of admire.
admit,"If you admit someone, you allow them to enter an area or a building."
admits,The third-person singular form of admit.
adopt,"If you adopt something, you choose and begin to use it instead of what you used in the past."
adopted,The past participle of adopt.
adore,"If you adore someone, you love them very much."
adult,An adult is a person who is of the legal age of majority.
advertise,"If you advertise something, you make it known publicly, usually to sell it.

Synonyms: push, promote, present, market, broadcast and announce"
advisor,An advisor is a person who gives advice.
affordable,"If something is affordable, it can be afforded."
afraid,"If you are afraid of something, you feel fear, or worry because you think something bad will happen."
after,Behind something in place or position.
afternoon,The time after 12:00  and before the evening meal.
again,Once more.
against,"In opposition, or not agreeing, to."
age,"Something's age is how long it has existed or been alive; how old something is.

Synonym: time"
aggressive,Making attacks or assaults that are not just.
ago,At an earlier time.
agony,Agony is extremely bad suffering with strong pain
agree,"When two people agree about something, they have the same ideas. They both think the same things are true."
agreeable,"If something is agreeable, it is nice and good."
agreement,"An agreement is where everybody has the same feelings about something; when everyone has the same ideas; saying ""yes""."
aid,"Aid is the help that is given to people, usually by a government or institution."
aided,The past tense and past participle of aid.
aim,An aim is something you want to do or have done.
air,Air is a mixture of gases. It has no color or odor
Al,
Alaska,
Alex,
algae,"algae
plural form of alga
"
alien,"An alien is a person, animal, plant or thing that is not part of the group you look at."
align,"If you align some things, you make them point the same direction."
alive,"If someone or something is alive, it is living or it continues to exist. If you are alive you have life."
all,"All of something is 100% of it, or the entire amount."
allow,"If you allow something, you let it happen; you say it's OK."
almond,An almond is the nut which comes from the almond tree.
almost,"Very nearly; about 98% of something; not the same, but near to being the same."
alone,"If someone is alone, they are not with other people."
alpha,
already,before a certain time
also,"When one thing happens and a second thing happens in a same or similar time or way, then the second thing also happens."
alter,"If you alter something, you change it, usually in a small way."
although,You use although to show an idea that is surprising or different from another idea.
always,"If something always happens, it happens at all times or every time."
am,A form of the verb be used about the person speaking
amiable,"If a person is amiable, they are friendly, pleasant and/or agreeable"
among,"In or into. We say ""between"" 2 other things, but among 3 or more other things."
amp,"amp (plural amps)
(colloquial) ampere, the unit of electrical current.
(colloquial) amplifier.[1]
(colloquial) ampoule.
(colloquial) amputee.
"
amputate,"amputate (third-person singular simple present amputates, present participle amputating, simple past and past participle amputated)
To surgically remove a part of the body, especially a limb
"
amuse,To amuse is to cause laughter and enjoyment; to be funny.
an,An  is used when the following word could be any of a certain type.
and,"You use and to talk about two things at once.

Synonyms: in addition to and as well as"
Andy,
angle,"When two straight lines come together, they make an angle."
animals,The plural form of animal; more than one animal.
Anna,
Anne,
annoy,"If something annoys people, it makes them angry or bothered. This often happens after someone does an action many times.

Synonyms: rag, bother, rile, irritate, nettle, chafe, nark, vex, gravel and devil


Antonym: delight"
anoint,"anoint (third-person singular simple present anoints, present participle anointing, simple past and past participle anointed)
(transitive) To smear or rub over with oil or an unctuous substance; also, to spread over, as oil.And fragrant oils the stiffened limbs anoint. —Dryden.He anointed the eyes of the blind man with the clay. —John ix. 6.
And fragrant oils the stiffened limbs anoint. —Dryden.
He anointed the eyes of the blind man with the clay. —John ix. 6.
(transitive) To apply oil to or to pour oil upon, etc., as a sacred rite, especially for consecration.Then shalt thou take the anointing oil, and pour it upon his [Aaron's] head and anoint him. —Exod. xxix. 7.Anoint Hazael to be king over Syria. —1 Kings xix. 15.
Then shalt thou take the anointing oil, and pour it upon his [Aaron's] head and anoint him. —Exod. xxix. 7.
Anoint Hazael to be king over Syria. —1 Kings xix. 15.
(transitive, figuratively) To choose or nominate somebody for a leading or otherwise important position, especially formally or officially, or as an intended successor.
(transitive, historical) To mark somebody as an official ruler, especially a king or queen, as a part of a religious ceremony.
"
another,Another of something means that there is one more of it.
ant,An ant is an insect that walks and goes in groups.
antenna,"antenna (plural antennae or antennas)
A feeler organ on the head of an insect, crab, or other animal.
An apparatus to receive or transmit radio waves and convert respectively to or from an electrical signal.
The faculty of intuitive astuteness.2006 Kelly Pyrek, Forensic Nursing, page 5, ISBN 084933540X.Most nurses believe they are born with an antenna of sorts, which is able to guide them through clinical practice and help them determine what is right and what is not...2010 Mary Lou Decostérd, Right Brain/Left Brain President: Barack Obama's Uncommon Leadership Ability, page 106, ISBN 0313380724.Obama is astute. He approaches things with the help of a sensitive antenna.
2006 Kelly Pyrek, Forensic Nursing, page 5, ISBN 084933540X.Most nurses believe they are born with an antenna of sorts, which is able to guide them through clinical practice and help them determine what is right and what is not...
2010 Mary Lou Decostérd, Right Brain/Left Brain President: Barack Obama's Uncommon Leadership Ability, page 106, ISBN 0313380724.Obama is astute. He approaches things with the help of a sensitive antenna.
"
antics,"antics
plural of antic
"
antique,An antique is something that is old for its type.
Anton,
any,some or even the smallest amount or number
anyone,"Any person. You use this when there is no limit to who might be meant. You might be able to change ""anyone"" to any person's name."
anything,"Any one of all things. You use this when there is no limit to what might be meant. You might be able to change ""anything"" to any other word."
anywhere,Any place.
apartment,An apartment is a place with several rooms in a building where other people also live.
ape,"A primate without a tail including chimpanzees, gorillas, orangutans and humans."
apology,An apology is words or actions that show you are sorry.
Apostles,
apparatus,A complex machine or instrument.
