Word,Definition
a,"A is used when the following word could be any of a certain type.

Synonyms: one, any and each"
Aaron,
abandon,"If you abandon something, you go away from it with no plan to return."
able,"If someone is able to do something, he can do it."
abolish,"When you abolish something, you end it by making it invalid or illegal. You usually use the word ""abolish"" in regard to laws or actions."
about,You use about to say what subject something is related to.
above,"If A is above B, A is higher than or before B, but not touching B."
Abraham,
absent,"If something is absent, it means to be not in a place or missing."
absolute,"An absolute is something that will always exist.

Synonym: none"
absorb,"If something is absorbed, it is sucked or soaked up .

Synonyms: draw, imbibe and suck"
absorbent,"If something is absorbent, it can soak up liquid.

Synonym: absorptive"
abstract,"If something is abstract, you cannot touch it, and it is difficult to imagine or think about."
absurd,Something absurd is ridiculous and stupid.
abuse,Abuse is touching or acting towards someone in a way that will likely hurt them.
abusive,"If someone is abusive, he is violent and abuses  others."
accomplish,"If you accomplish something, you succeed in doing it."
accumulate,"If you accumulate something, you bring it together."
achieve,"If you achieve success or a goal, you have completed what you planned to do or have a good result."
acoustic,Related to hearing or sounds.
across,"To the other side.

Synonym: over"
act,"&  If you act in some way, you do something that makes people think you are that way.

Synonyms: do, work and behave"
acted,The past tense and past participle of act.
active,Something is active if it is turned on or started.
activity,"When a person or animal has activity, it is active or lively."
actress,A female actor.
acute,"If an angle is acute, it is less than 90 degrees in size.

Antonym: obtuse"
adapt,"If you adapt to changes, conditions, needs, etc., you change to fit them."
add,"If you add 



x


{\displaystyle x}

 to 



y


{\displaystyle y}

, you put 



x


{\displaystyle x}

 and 



y


{\displaystyle y}

 together."
addict,"An addict is someone who is addicted to something, most often to a harmful drug.

Synonyms: junkie and slave"
addictive,"If something is addictive, it is hard to stop doing it."
address,An address is the location where a building is or where a person lives.
adds,The third-person singular form of add.
adjust,"If you adjust something, you change it a little so that it fits or works better."
administrative,"administrative (comparative more administrative, superlative most administrative)
Of or relating to administering or administration.
"
admire,"If you admire something, you like it very much."
admires,The third-person singular form of admire.
admit,"If you admit someone, you allow them to enter an area or a building."
admits,The third-person singular form of admit.
adopt,"If you adopt something, you choose and begin to use it instead of what you used in the past."
adopted,The past participle of adopt.
adore,"If you adore someone, you love them very much."
adult,An adult is a person who is of the legal age of majority.
advertise,"If you advertise something, you make it known publicly, usually to sell it.

Synonyms: push, promote, present, market, broadcast and announce"
advisor,An advisor is a person who gives advice.
affordable,"If something is affordable, it can be afforded."
afraid,"If you are afraid of something, you feel fear, or worry because you think something bad will happen."
after,Behind something in place or position.
afternoon,The time after 12:00  and before the evening meal.
again,Once more.
against,"In opposition, or not agreeing, to."
age,"Something's age is how long it has existed or been alive; how old something is.

Synonym: time"
aggressive,Making attacks or assaults that are not just.
ago,At an earlier time.
agony,Agony is extremely bad suffering with strong pain
agree,"When two people agree about something, they have the same ideas. They both think the same things are true."
agreeable,"If something is agreeable, it is nice and good."
agreement,"An agreement is where everybody has the same feelings about something; when everyone has the same ideas; saying ""yes""."
aid,"Aid is the help that is given to people, usually by a government or institution."
aided,The past tense and past participle of aid.
aim,An aim is something you want to do or have done.
air,Air is a mixture of gases. It has no color or odor
Al,
Alaska,
Alex,
algae,"algae
plural form of alga
"
alien,"An alien is a person, animal, plant or thing that is not part of the group you look at."
align,"If you align some things, you make them point the same direction."
alive,"If someone or something is alive, it is living or it continues to exist. If you are alive you have life."
all,"All of something is 100% of it, or the entire amount."
allow,"If you allow something, you let it happen; you say it's OK."
almond,An almond is the nut which comes from the almond tree.
almost,"Very nearly; about 98% of something; not the same, but near to being the same."
alone,"If someone is alone, they are not with other people."
alpha,"b'alpha (countable and uncountable, plural alphas)\nThe name of the first letter of the Greek alphabet (\xce\x91, \xc2\xa0\xce\xb1), followed by beta. In the Latin alphabet it is the predecessor to A.\nLatin alpha\n(sciences) The name of the symbols \xce\x91 and \xce\xb1 used in science and mathematics, often interchangeable with the symbols when used as a prefix.I will attempt to make an alpha particle (""\xce\xb1-particle"") with the Large Hadron Collider.\n(finance) The return of a given asset or portfolio adjusted for systematic risk.\nA person, especially a male, who is dominant, successful and attractive; (see alpha male).2008, Faye Flam, The Score: How the Quest for Sex Has Shaped the Modern Man, Avery (2008), ISBN 9781436225786, unnumbered page:Being a beta male in a species with alphas doesn\'t mean you have to sit out the mating game.2008, The New Black Lace Book of Women\'s Sexual Fantasies (ed. Mitzi Szereto), Black Lace (2008), ISBN 9780352341723, page 38:I\'m still turned on by alpha males. I think there are only a couple of other men that turn me on . . . ones that are clearly not alphas.2009, Martin G. Groder & Pat Webster, Winning at Love: The Alpha Male\'s Guide to Relationship Success, Bascom Hill Books (2009), ISBN 9781935456049, page ix:This book is primarily for alpha males, or \xe2\x80\x9ctop dogs.\xe2\x80\x9d We\'ll talk more about that later; but let\'s just say that if you are a man and successful in the world of trade, business, or profession, most likely you are an alpha, or you have been trained to act like an alpha.\n2008, Faye Flam, The Score: How the Quest for Sex Has Shaped the Modern Man, Avery (2008), ISBN 9781436225786, unnumbered page:Being a beta male in a species with alphas doesn\'t mean you have to sit out the mating game.\n2008, The New Black Lace Book of Women\'s Sexual Fantasies (ed. Mitzi Szereto), Black Lace (2008), ISBN 9780352341723, page 38:I\'m still turned on by alpha males. I think there are only a couple of other men that turn me on . . . ones that are clearly not alphas.\n2009, Martin G. Groder & Pat Webster, Winning at Love: The Alpha Male\'s Guide to Relationship Success, Bascom Hill Books (2009), ISBN 9781935456049, page ix:This book is primarily for alpha males, or \xe2\x80\x9ctop dogs.\xe2\x80\x9d We\'ll talk more about that later; but let\'s just say that if you are a man and successful in the world of trade, business, or profession, most likely you are an alpha, or you have been trained to act like an alpha.\n(informal, abbreviation) Alphabet.\n(software engineering) The first versions of a program, usually only available to the developer, and only tested by the developer.\n(computer graphics) The level of translucency of a color, as determined by the alpha channel.\n(statistics) The significance level if a statistical test; the alpha level.'"
already,before a certain time
also,"When one thing happens and a second thing happens in a same or similar time or way, then the second thing also happens."
alter,"If you alter something, you change it, usually in a small way."
although,You use although to show an idea that is surprising or different from another idea.
always,"If something always happens, it happens at all times or every time."
am,A form of the verb be used about the person speaking
amiable,"If a person is amiable, they are friendly, pleasant and/or agreeable"
among,"In or into. We say ""between"" 2 other things, but among 3 or more other things."
amp,"amp (plural amps)
(colloquial) ampere, the unit of electrical current.
(colloquial) amplifier.[1]
(colloquial) ampoule.
(colloquial) amputee.
"
amputate,"amputate (third-person singular simple present amputates, present participle amputating, simple past and past participle amputated)
To surgically remove a part of the body, especially a limb
"
amuse,To amuse is to cause laughter and enjoyment; to be funny.
an,An  is used when the following word could be any of a certain type.
and,"You use and to talk about two things at once.

Synonyms: in addition to and as well as"
Andy,
angle,"When two straight lines come together, they make an angle."
animals,The plural form of animal; more than one animal.
Anna,
Anne,
annoy,"If something annoys people, it makes them angry or bothered. This often happens after someone does an action many times.

Synonyms: rag, bother, rile, irritate, nettle, chafe, nark, vex, gravel and devil


Antonym: delight"
