Diana,Dubina,diadu,Saint Petersburg,,Russian Federation,,"UI Designer, Interaction Designer","'UI/UX', 'Web Design', 'Interaction Design'"
Marc,Anderson,marcbanderson,New York,New York,United States,Rainfall.,"CEO, Designer","'Art Direction', 'Interaction Design', 'UI/UX'"
Alexey,Arkhipenko,a_alex,Minsk,,Belarus,,UX/UI,"'Interaction Design', 'UI/UX', 'Web Design'"
Nextpage,Web Agency ,nextpage_agency,Odesa,,Ukraine,Nextpage,"Web design, UI/UX, Art direction","'Web Design', 'UI/UX', 'Interaction Design'"
Jegor,Walowski,jegorwalowski,New York,New York,United States,Nextpage,Co-founder,"'Web Design', 'UI/UX', 'Interaction Design'"
Alex,Seagull,AlexSeagull,San Francisco,California,United States,NEXTPAGE,CEO,"'Web Design', 'UI/UX', 'Interaction Design'"
Jam3,.,wearejam3,Toronto,Ontario,Canada,,A Design and Experience Studio,"'Interaction Design', 'UI/UX', 'Art Direction'"
Cole,S,sanctvm,Toronto,Ontario,Canada,AOS,"Founder, Creative Director","'Interaction Design', 'Art Direction', 'Illustration'"
Alon,Baum,alonbaum,Toronto,Ontario,Canada,,Graphic Designer,"'Branding', 'Interaction Design', 'Art Direction'"
Vinicius,Radziavicius de Araujo,vinyss,Toronto,Ontario,Canada,Jam3,Associate Creative Director,"'Interaction Design', 'UI/UX', 'Web Design'"
Eric,Michael,ericmoran,Toronto,Ontario,Canada,Array of Stars,Art Director + Photographer,"'Art Direction', 'Interaction Design', 'Graphic Design'"
Emmanuel,Cruellas,emmanuelcruellas,Paris,,France,Bonhomme,Creative Director & Co-founder,"'Interaction Design', 'Web Design', 'UI/UX'"
Bonhomme,Studio,bonhommestudio,Paris,,France,,Creative Studio,"'Interaction Design', 'Web Design', 'UI/UX'"
Romain ,Passelande,RomainPSD,Paris,,France,Bonhomme,Jr. Interactive Art Director,"'UI/UX', 'Web Design', 'Interaction Design'"
Sammy,Viel,SammyViel,Paris,,France,Bonhomme,Digital Project manager / Producer,"'Interaction Design', 'UI/UX', 'Web Design'"
Loup-Rodolphe,THIBAULT,loupthibaue86e,Paris,,France,,Creative Developer,"'Interaction Design', 'UI/UX', 'Web Design'"
Semalt,Company,admin6961,Kiev,,Ukraine,,The full-stack digital agency,"'Web Design', 'UI/UX', 'Interaction Design'"
Pasha,Palenin,torium0,Moscow,,Russian Federation,The Flow,"Art-director, designer","'Art Direction', 'Graphic Design', 'Interaction Design'"
FIVE AM,design studio,fiveamdesignstudio,Kortrijk,,Belgium,FIVE AM,,"'Interior Design', 'Interaction Design', 'Furniture Design'"
kwanjun,Ryu,andryu,Seoul,,"Korea, Republic of",,Industrial Designer,"'Industrial Design', 'Interaction Design', 'UI/UX'"
Eleken,Agency,elekenagency,Kiev,,Ukraine,New project inquries: work@eleken.co,"Digital Product Design and Web/Mobile Development. MERN Stack, React Native.","'UI/UX', 'Web Design', 'Interaction Design'"
Yehor,Kolchyba,YehorKolchyba,Kyiv,,Ukraine,,,"'UI/UX', 'Web Design', 'Interaction Design'"
Juan C.,Fresno,JuanCFresno,Madrid,,Spain,,UI/UX - Brand - Product - Digital Designer  -  Freelance,"'Interaction Design', 'UI/UX', 'Web Design'"
Arthur,Kenzo,arthurkenzo,San Francisco,California,United States,Google,Industrial Designer,"'Industrial Design', 'Interaction Design', 'Product Design'"
Morten,Solvstrom,solvstrom,New York,New York,United States,Hello Monday,Senior Art Director,"'Interaction Design', 'UI/UX', 'Web Design'"
Olha,Uzhykova,uzhik,Kharkiv,,Ukraine,,Product designer from Ukraine,"'UI/UX', 'Interaction Design', 'Web Design'"
Mariya,Skalatska,maryaskalatska,Kharkiv,,Ukraine,,,"'UI/UX', 'Web Design', 'Interaction Design'"
Netrix,Digital,netrixdigital,San Francisco,California,United States,,"Product design, UX/UI, mobile design, web design ","'Interaction Design', 'UI/UX', 'Animation'"
Carlos,Pariente A.,carlosprnt,Madrid,,Spain,BBVA,Global Visual Design Lead,"'Web Design', 'UI/UX', 'Interaction Design'"
Rajib,Raju,rajibraju,Dhaka,,Bangladesh,flatastic,UI/UX Designer,"'UI/UX', 'Interaction Design', 'Web Design'"
Mariolina,Pacelli,mariolinadvp,Naples,,Italy,,,"'Graphic Design', 'Interaction Design', 'Retouching'"
Konstantin,Kulesha,kuleshoid,Krasnoyarsk,,Russian Federation,,"UI/UX designer, Project Manager","'Interaction Design', 'Web Design', 'UI/UX'"
Alexandr,Pedchenko,pulya777,Krasnoyarsk,,Russian Federation,,,"'Interaction Design', 'Web Design', 'UI/UX'"
Maksim,Kyshtymov,maxkysh,Krasnoyarsk,,Russian Federation,MaxKysh,CEO,"'Interaction Design', 'Web Design', 'UI/UX'"
Einar,Hamidullin,EinarHamidullin,Krasnoyarsk,,Russian Federation,,,"'Interaction Design', 'UI/UX', 'Web Design'"
Vladimir,Ignatenko,vlkeen70a1,Moscow,,Russian Federation,AIC,UX Designer,"'Interaction Design', 'Web Design', 'UI/UX'"
Kirill,Kim,kirillkim,Krasnoyarsk,,Russian Federation,,"ui/ux, motion, branding","'Interaction Design', 'UI/UX', 'Web Design'"
Alex,Sava,websava,Kharkiv,,Ukraine,WEBSAVA,"Web Designer, Creator, UI/UX, Mobile App","'Interaction Design', 'UI/UX', 'Motion Graphics'"
Mattia,Rinaudo,mattiarinaudo,Milano,,Italy,,Designer of ideas.,"'Interaction Design', 'Art Direction', 'UI/UX'"
Zhenya,Rynzhuk,Zhenyary,New York,New York,United States,Sochnik Design Thinking School,Product design | Visual design hey@zhenyary.com,"'UI/UX', 'Art Direction', 'Interaction Design'"
Aleksandr,Maksimov,aleksandrmaksimov,Mykolaiv,,Ukraine,,UI/UX & Web Designer,"'Web Design', 'UI/UX', 'Interaction Design'"
Alexander,Laguta,laguta,Moscow,,Russian Federation,Fuge.,Freelance Web & UI/UX Designer. ,"'UI/UX', 'Interaction Design', 'Web Design'"
Kate,Laguta,katelaguta,Moscow,,Russian Federation,Fuge.,Freelance Motion Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Anton,Solonko,antc0ba,Kiev,,Ukraine,MADCATS,Brand Manager,"'Graphic Design', 'Branding', 'Interaction Design'"
BKID,co,bkidstudio,Seoul,,"Korea, Republic of",BKID,industrial design studio in Seoul,"'Industrial Design', 'Product Design', 'Interaction Design'"
7ninjas,Agency,7ninjas,Rzeszów,,Poland,Software & Design House,,"'UI/UX', 'Interaction Design', 'Web Design'"
Łukasz,Peszek,lukaszpeszek,Rzeszów,,Poland,,,"'UI/UX', 'Interaction Design', 'Branding'"
Roman,Lel  ,ozmoweb,Kharkiv,,Ukraine,,UX/UI designer frontend developer,"'Interaction Design', 'UI/UX', 'Web Design'"
Milosz,Pirog,theMilo,Warsaw,,Poland,10Clouds,Head of Design,"'UI/UX', 'Interaction Design', 'Branding'"
10Clouds,Team,10Cloudscom,Warsaw,,Poland,10Clouds,,"'UI/UX', 'Interaction Design', 'Branding'"
Jia,Yoon,dbswldk18422c,Seoul,,"Korea, Republic of",,Student,"'Interaction Design', 'UI/UX', 'Graphic Design'"
Gilberto,Prado,gilberto_ux,Alfenas,,Brazil,Insany Design,UI Designer and Front-End Developer,"'Web Design', 'UI/UX', 'Interaction Design'"
Alexandre,Navarro,NavarroAlex,Alfenas,,Brazil,Mais,Designer / Ilustrador,"'Web Design', 'UI/UX', 'Interaction Design'"
Yura,Bondarenko,leica044,Kiev,,Ukraine,,Designer,"'UI/UX', 'Web Design', 'Interaction Design'"
Max,Myasnikov,snoopygunmd9df,Tel Aviv,,Israel,Freelance,"UI Designer, UX Architect, Project Manager","'Interaction Design', 'UI/UX', 'Web Design'"
Vincent,Bélanger,vincentBelanger,Montreal,Quebec,Canada,Lg2,Digital Art Director ,"'UI/UX', 'Web Design', 'Interaction Design'"
Anton,Lugovskoy,Lugovskoj089c,Moscow,,Russian Federation,,,"'Interaction Design', 'UI/UX', 'Web Design'"
Umbrella,IT,UmbrellaIT,Taganrog,,Russian Federation,App development company,,"'UI/UX', 'Interaction Design', 'Web Development'"
CLEVER,° FRANKE,cleverfranke,Utrecht,,Netherlands,C°F – Data driven experiences,,"'Graphic Design', 'Interaction Design', 'UI/UX'"
Egor,Andrianov,ArtSeparatism,Moscow,,Russian Federation,Radugadesign ,,"'Motion Graphics', 'Set Design', 'Interaction Design'"
Marina,Budnik,budnikmari81a8,Dnipropetrovsk,,Ukraine,v-jet group,UI/UX Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Grzegorz,Leśniewicz,lesniewicz,Poznań,,Poland,,Web Designer,"'Web Design', 'UI/UX', 'Interaction Design'"
Alexey,Savitskiy,alexey_savitskiy,Cherkasy,,Ukraine,,Web & UI/UX designer & Developer,"'UI/UX', 'Web Design', 'Interaction Design'"
Alex,Yu,ikov,Moscow,,Russian Federation,PIXIRE,"Co-Founder, Designer","'UI/UX', 'Web Design', 'Interaction Design'"
Cheng-Hann,Wu,wuchenghanf0dd,Taipei City,,Taiwan,National Cheng Kung University,Industrial Designer,"'Product Design', 'Industrial Design', 'Interaction Design'"
Kirsty,Fruin,kirsty5d89,Manchester,,United Kingdom,MERó,Designer,"'UI/UX', 'Interaction Design', 'Art Direction'"
MERó,.,worksbymero,Manchester,,United Kingdom,Branding & Digital Studio,,"'UI/UX', 'Interaction Design', 'Branding'"
Inma,Junco,InmaJunco,Manchester,,United Kingdom,MERó - A Digital & Branding Agency,Co-founder,"'UI/UX', 'Web Design', 'Interaction Design'"
Andy,Culbert,andyculbert,Manchester,,United Kingdom,MERó - A Branding & Digital Agency,Partner,"'UI/UX', 'Web Design', 'Interaction Design'"
Future,Mind,futuremind,Warsaw,,Poland,,Mobile Apps,"'Interaction Design', 'UI/UX', 'Web Design'"
Matthias,Deckx,matthiasdeckx,Antwerp,,Belgium,Matthias Deckx,Design & Development practice,"'Web Design', 'Graphic Design', 'Interaction Design'"
Dmitriy,Kozhevnikov,dikozzz,Moscow,,Russian Federation,,,"'Web Design', 'UI/UX', 'Interaction Design'"
Lanza ,Studio,lanza,Mexico City,,Mexico,,,"'Art Direction', 'Branding', 'Interaction Design'"
Gleb,Danilov,glebdanilo0aba,,,Russian Federation,,,"'Industrial Design', 'Automotive Design', 'Interaction Design'"
inFullMobile,Team,inFullMobile,Warsaw,,Poland,inFullMobile,,"'Interaction Design', 'UI/UX', 'Web Design'"
Adam,Kalinowski,adamkalin,Warsaw,,Poland,inFullMobile.com,UI/UX Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Tobiasz,Usewicz,tobiaszused44b,Warsaw,,Poland,,,"'Interaction Design', 'UI/UX', 'Web Design'"
Bogdan,Shpak,volinok93d167,Kiev,,Ukraine,,illustration & motion graphics,"'UI/UX', 'Web Design', 'Interaction Design'"
Ruslan,Cheremha,ruslanch,Ternopil,,Ukraine,,"Web/Mobile Design, UI/UX, Logo&Branding","'Web Design', 'UI/UX', 'Interaction Design'"
Marcin,Paluch,marcinpaluch,Poznań,,Poland,,Freelance Web Designer,"'Branding', 'Web Design', 'Interaction Design'"
Netguru, Team,netguru,Poznań,,Poland,,,"'UI/UX', 'Web Design', 'Interaction Design'"
Paweł,Waraksa,pawelwaraksa,Poznań,,Poland,Netguru,Product Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Nikita,Melnikov ,nikitin891,Minsk,,Belarus,,Art Direction / Animation,"'Illustration', 'Motion Graphics', 'Interaction Design'"
Nikita,Novoselov,niknow,Moscow,,Russian Federation,,Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Stas,Posokh,posokh,Moscow,,Russian Federation,AIC,Senior Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Dmitry,Igoshin,f2f,Moscow,,Russian Federation,Aic.ru,Art-director,"'Interaction Design', 'Web Design', 'Graphic Design'"
Ivan,Franzose,franzosemoscow,Moscow,,Russian Federation,aic.,Senior Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Sergey,Popkov,aic,Moscow,,Russian Federation,AIC,Art Director,"'Web Design', 'Interaction Design', 'UI/UX'"
Nastya,Mironova,modus-tollens,Moscow,,Russian Federation,,Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Alexander,Shakhovskoy,frutopia,Moscow,,Russian Federation,,illustration/animation/craft,"'Storyboarding', 'Interaction Design', 'Illustration'"
gen,design studio,gen-design,Braga,,Portugal,gen design studio,,"'Graphic Design', 'Branding', 'Interaction Design'"
Vladimir,Gruev,gruev,Odessa,,Ukraine,,Designer @ heartbeat.UA,"'Interaction Design', 'UI/UX', 'Web Design'"
Stan,Yakusevich,HippyBal,Odessa,,Ukraine,heartbeat.ua,Artdirector,"'UI/UX', 'Interaction Design', 'Web Design'"
Dmitry,Lepokhin,dimaod4e2c,Odessa,,Ukraine,Heartbeat.UA,Product Manager,"'Web Design', 'Interaction Design', 'UI/UX'"
Artø,.,Artavazd,Yerevan,,Armenia,,"UI/UX designer. Studied architecture. Specialize in: User Experience Research, Data to Information and Prototyping.","'UI/UX', 'Web Design', 'Interaction Design'"
Nguyen,Tran K,keyuan1101,Phnom Penh,,Cambodia,,Designer . Illustrator . Tattooist,"'Graphic Design', 'Art Direction', 'Interaction Design'"
Svetlana,Lubnina,lubnina,Kiev,,Ukraine,SEMALT,UI/UX designer,"'Web Design', 'Interaction Design', 'UI/UX'"
Sergey,Talala,Sergey_Talala,Kiev,,Ukraine,,Web Developer,"'Interaction Design', 'Web Design', 'UI/UX'"
Anna,Pavlova,AnnKawper,Saint Petersburg,,Russian Federation,,"I work worldwide, you can commission me at annkawper@gmail.com","'Interaction Design', 'Web Design', 'UI/UX'"
Sungwook,Kang,tjddnr,Seoul,,"Korea, Republic of",,Product designer,"'Product Design', 'Interaction Design', 'Industrial Design'"
Dawn,By SJ,de-code131c,Seoul,,"Korea, Republic of",,Creative Director,"'Product Design', 'Industrial Design', 'Interaction Design'"
Italo,Sannino,italosan,Naples,,Italy,italosan,,"'UI/UX', 'Interaction Design', 'Graphic Design'"
Marco,De Luca,delucamarc18b7,Naples,,Italy,,,"'Graphic Design', 'Interaction Design', 'UI/UX'"
Sponge,Digital & Design,sponge-design,Odessa,,Ukraine,,"Full cycle productions | web & apps development, animation, graphic design.","'Interaction Design', 'Web Design', 'Web Development'"
Vladislav,Mikhailov,vladimikh,Krasnodar,,Russian Federation,vladi.mikh@ya.ru,Product Designer,"'Interaction Design', 'UI/UX', 'Web Design'"
Tran Mau,Tri Tam ✪,tranmautritam,Ho Chi Minh City,,Vietnam,tranmautritam,UX/UI Web Designer,"'Web Design', 'UI/UX', 'Interaction Design'"
Hongseok,Seo,goorii,Seoul,,"Korea, Republic of",,,"'Industrial Design', 'Product Design', 'Interaction Design'"
Minkwan,Seo,mkseo,Seoul,,"Korea, Republic of",S2VICTOR,Creative Director,"'Industrial Design', 'Product Design', 'Interaction Design'"
Vadim,Vinogorov,vivads1476,Moscow,,Russian Federation,Self-Employed,Creative Producer,"'Motion Graphics', 'Digital Art', 'Interaction Design'"
灰昼,NoirChen,NoirChen,Beijing,,China,RedCloud Studio,Chief Art Director,"'Motion Graphics', 'Interaction Design', 'Graphic Design'"
Minki,Kim,mk7200,Seoul,,"Korea, Republic of",University of Seoul,Industrial designer,"'Product Design', 'Industrial Design', 'Interaction Design'"
Soyoung,Lee,sso_about,Seoul,,"Korea, Republic of",Samsung Design Membership,UI Designer,"'UI/UX', 'Interaction Design', 'Industrial Design'"
수진,고,soujinko7245,Seoul,,"Korea, Republic of",,Student,"'Interaction Design', 'Industrial Design', 'UI/UX'"
jinju,Choo,chujinjuice,Seoul,,"Korea, Republic of",Samsung Design Membership,"Student, VD","'Interaction Design', 'UI/UX', 'Industrial Design'"
Seonghyeok,Youn,shyboi,Irvine,California,United States,,UI/UX & Graphic & Branding,"'Industrial Design', 'UI/UX', 'Interaction Design'"
Gianni,Teruzzi,gianniteruzzi,Shenzhen,,China,,Industrial Designer,"'Industrial Design', 'Product Design', 'Interaction Design'"
Humbleteam,🔥,humbleteam,Prague,,Czech Republic,,Award winning agency. Drop us a line at info@humbleteam.com 👋,"'Interaction Design', 'UI/UX', 'Web Design'"
Anton,Stupnev,footof,Prague,,Czech Republic,,Designer,"'UI/UX', 'Interaction Design', 'Graphic Design'"
Alexander,Kowalsky,korumart,Prague,,Czech Republic,,Design director,"'Interaction Design', 'UI/UX', 'Web Design'"
Gavril,Perov,gavrilperov,Saint Petersburg,,Russian Federation,,Freelance Visual Designer ,"'Interaction Design', 'UI/UX', 'Web Design'"
Nick,Taylor,nickdraft,Paris,,France,,Interaction Designer & Awwwards Design Jury,"'Interaction Design', 'UI/UX', 'Art Direction'"
Sergey,Krasotin,krasotin,Prague,,Czech Republic,,Say hello at sergey@humbleteam.com 👋,"'Digital Art', 'Advertising', 'Interaction Design'"
junku,jung,junkujung,Seoul,,"Korea, Republic of",samsung design membership,product designer / Student,"'Product Design', 'Interaction Design', 'Industrial Design'"
Sojeong,Cha,thwjd6068f12,Seoul,,"Korea, Republic of",Samsung Design Membership,Graphic Designer,"'Graphic Design', 'Interaction Design', 'Illustration'"
Maxim,Berg,maxberg,Moscow,,Russian Federation,,"UI/UX, art-direction","'Web Design', 'UI/UX', 'Interaction Design'"
John,Jackson,john_jackson,Kyiv,,Ukraine,,Open to offers | UX.UI. Product Interface Designer,"'Typography', 'Interaction Design', 'Graphic Design'"
Artur,Konariev,arturkonariev,Kiev,,Ukraine,,UX/UI. Product Interface Designer,"'UI/UX', 'Interaction Design', 'Graphic Design'"
Ismail,Hossain,ismail005,Dhaka,,Bangladesh,,"UI/UX Designer, Branding Designer","'UI/UX', 'Interaction Design', 'Web Design'"
Faridul,Haque,googoling,Dhaka,,Bangladesh,,UI/UX Designer,"'UI/UX', 'Interaction Design', 'Web Design'"
Laura,Gama,gamadesign,Rio de Janeiro,,Brazil,,Graphic Designer,"'Packaging', 'Interaction Design', 'Graphic Design'"
Happer,                                        ,happeragency,Monterrey,,Mexico,hello@happer.mx,,"'Branding', 'Packaging', 'Interaction Design'"
ILAR,Technology,ilartech,Kazan,,Russian Federation,ILAR technology,Digital agency,"'Graphic Design', 'Web Design', 'Interaction Design'"
