Name,Description,URL
Stuart Ratcliffe,"Stuart Ratcliffe is a professional software developer who lives and works in the East Midlands, UK. He has held positions at some of the larges...",https://www.packtpub.com/
Alara Rogers,"Alara Rogers, not to be confused with Buck Rogers or Mr. Rogers, is often thought to be a brain in a tank, but this is not true; she is a space...",https://www.packtpub.com/books/info/authors/alara-rogers
Nikkia Carter,"Nikkia Carter, Director of Collaboration and Training for C3 Integrated Solutions, a Microsoft Gold & Silver partner in VA, has a bachelor&...",https://www.packtpub.com/books/info/authors/nikkia-carter
Thomas Carpe,"Thomas Carpe is a founder and managing principal of Liquid Mercury Solutions, a Baltimore-based Microsoft Gold partner specializing in Azure, O...",https://www.packtpub.com/books/info/authors/thomas-carpe
Gion Kunz,Gion Kunz has years of experience with web technologies and is totally in love with web standards. With over 10 years of experience of writing ...,https://www.packtpub.com/books/info/authors/gion-kunz
Manui Aggarwal,"He is an entrepreneur, investor and a technology enthusiast. In the last few years, he has been a business owner, technical architect, CTO, cod...",https://www.packtpub.com/books/info/authors/manui-aggarwal
Colibri Ltd,Colibri Ltd is a technology consultancy company founded in 2015 by James Cross and Ingrid Funie. The company works to help its clients navigate...,https://www.packtpub.com/books/info/authors/colibri-0
Joran Beasley,Joran Beasley has over 7 years' experience as a professional software developer (primarily in Python) and is an active contributor to the ...,https://www.packtpub.com/books/info/authors/joran-beasleyhas
Jesus Salcedo,Jesus Salcedo has a Ph.D. in Psychometrics from Fordham University. He is an independent statistical and data-mining consultant that has been u...,https://www.packtpub.com/books/info/authors/jesus-salcedo
Tao Wei,Tao has an MS degree in Computer Science from the University of McGill and many years of experience as a teaching assistant for various compute...,https://www.packtpub.com/books/info/authors/tao-wei
James Lee ,James Lee is a passionate software wizard working at one of the top Silicon Valley-based startups specializing in big data analysis. In the pas...,https://www.packtpub.com/books/info/authors/james-lee
Ahmed primarily,Ahmed primarily works with TensorFlow projects to do with sentiment and facial recognition from twitter posts and profiles. He also used Tensor...,https://www.packtpub.com/books/info/authors/ahmed-sherif
Amrith Ravindra,"Amrith completed his bachelor’s in Electrical Engineering from BMS Institute of Technology, Bangalore, in 2015. He is currently studying at U...",https://www.packtpub.com/books/info/authors/amrith-ravindra
Mark E. Jeftovic,"Mark E. Jeftovic is the cofounder and CEO of easyDNS Technologies Inc, the managed DNS provider and domain name registrar. He was formerly a di...",https://www.packtpub.com/
Oliver Pelz,Oliver Pelz has more than 10 years' experience as a software developer and system administrator. He graduated with a diploma degree in bio...,https://www.packtpub.com/books/info/authors/oliver-pelz
Micheal Lanham,"Micheal Lanham is a proven software architect with 20 years' experience of developing a range of software, including games, mobile, grap...",https://www.packtpub.com/books/info/authors/micheal-lanham
Dayong Du ,"Dayong Du is a big data practitioner, author, and coach with over 10 years' experience in technology consulting, designing, and implemen...",https://www.packtpub.com/books/info/authors/dayong-du
Abdalla Mahmoud,Abdalla Mahmoud is a Java software architect and trainer with 14+ years of experience in the software development industry. He's led many ...,https://www.packtpub.com/books/info/authors/abdalla-mahmoud
Achilleas Pipinellis,Achilleas Pipinellis is an open source enthusiast and tries to get involved in as many projects as possible. He was introduced to Linux almost ...,https://www.packtpub.com/books/info/authors/achilleas-pipinellis
Matt R. Cole,"Matt R. Cole is a seasoned developer with 30 years' experience in Microsoft Windows, C, C++, C#, and .NET. He previously wrote a speech ...",https://www.packtpub.com/books/info/authors/matt-r-cole
Nitin Gupta,"Nitin Gupta is an IT professional with expertise in SAP solution architecture, business process transformation, and project management and over...",https://www.packtpub.com/books/info/authors/nitin-gupta
Markus Klems,"Markus Klems is a software development and system administration expert for scalable, high-availability, and high-performance software systems,...",https://www.packtpub.com/books/info/authors/markus-klems
Bhaskar N. Das,"Bhaskar N. Das has 8 years' experience in various projects involving application development, maintenance, and support with IBM. He has wo...",https://www.packtpub.com/books/info/authors/bhaskar-n-das
