our words,missing words
"'dove', 'gull', 'stork'","'crow', 'eagle ', 'magpie ', 'owl ', 'parrot ', 'partridge ', 'peacock ', 'penguin ', 'pigeon ', 'vulture '"
"'ant', 'spider', 'flea', 'fly', 'wasp'","'bee ', 'butterfly ', 'centipede ', 'cockroach ', 'cricket ', 'dragonfly ', 'scorpion ', 'grasshopper ', 'insect ', 'ladybug ', 'louse ', 'millipede ', 'mite ', 'mosquito '"
"'cell', 'umbrella', 'worm'","'amoeba ', 'nucleus ', 'coral ', 'polyp ', 'earthworm ', 'jellyfish ', 'leech ', 'metazoan ', 'protoplasm ', 'protozoan ', 'pseudopod ', 'sponge ', 'sucker '"
"'bear', 'brown', 'bear', 'leopard', 'lion', 'mane', 'bear'","'extinct ', 'feline ', 'hyena ', 'insectivore ', 'kangaroo ', 'lynx ', 'mammal ', 'marsupial ', 'mole ', 'opossum ', 'pangolin ', 'paw ', 'polar '"
"'calf', 'cat', 'kid', 'lamb', 'puppy', 'rabbit'","'kitten ', 'turtle '"
"'bird', 'cage', 'nest', 'chicken', 'duck', 'goose', 'hen', 'nest', 'swan', 'turkey', 'wing'","'beak ', 'rooster '"
'ape',"'baboon ', 'chimpanzee ', 'gibbon ', 'gorilla ', 'lemur ', 'orangutan ', 'rhesus '"
"'frog', 'toad'","'alligator ', 'bullfrog ', 'chameleon ', 'crocodile ', 'gecko ', 'monitor ', 'lizard '"
"'bull', 'cattle', 'cow', 'musk', 'ox'","'antelope ', 'bison ', 'chamois ', 'deer ', 'giraffe ', 'ibex ', 'manure ', 'moose ', 'ruminant ', 'buffalo '"
"'pearl', 'snail', 'walrus'","'cuttlefish ', 'mollusk ', 'mussel ', 'oyster ', 'otter ', 'urchin ', 'starfish '"
"'snake', 'hiss'","'python ', 'cobra ', 'poison ', 'poisonous ', 'python ', 'rattlesnake ', 'venom ', 'spitting '"
"'donkey', 'goat', 'horse', 'mule', 'pig', 'rhino', 'sheep', 'trunk', 'tusk'","'dugong ', 'gaur ', 'manatee ', 'ungulate ', 'tapir ', 'elephant '"
"'film', 'medium', 'photograph', 'picture', 'carve', 'mold', 'stage'","'art ', 'drawing ', 'motion ', 'movie ', 'painting ', 'sculpture ', 'formal '"
"'actress', 'artist', 'photographer', 'sculptor'","'actor ', 'director ', 'guitarist ', 'magician ', 'musician ', 'painter ', 'pianist ', 'producer ', 'singer ', 'designer '"
"'cloth', 'colors', 'paint', 'water', 'brush', 'pen', 'ink'","'dye ', 'crayon ', 'oil ', 'pastel ', 'pastel ', 'tempera ', 'acrylic ', 'pencil '"
"'system', 'star', 'Earth'","'asteroid ', 'planet ', 'comet ', 'Mars ', 'Moon ', 'Mars ', 'Venus ', 'Neptune ', 'Uranus ', 'Saturn ', 'Pluto ', 'Jupiter '"
"'hair', 'freckle', 'spot', 'skin', 'wrinkle'","'body ', 'mole ', 'pimple ', 'pore '"
"'ear', 'eye', 'eye', 'nose'","'eardrum ', 'eyeball ', 'eyebrow ', 'eyelash ', 'eyelid ', 'eyesight ', 'farsighted ', 'nearsighted ', 'nostril ', 'pupil ', 'retina '"
"'hair', 'blond', 'bun', 'mustache', 'straight', 'perm', 'style'","'beard ', 'braid ', 'braided ', 'curly ', 'hairline ', 'ponytail ', 'sideburn ', 'braid ', 'parting ', 'wavy '"
"'cheek', 'chin', 'face', 'hair', 'jaw', 'temple', 'head'","'beard ', 'forehead ', 'moustache  '"
"'bone', 'nerve', 'rib', 'skull', 'spine', 'vein'","'artery ', 'backbone ', 'muscle ', 'pelvis ', 'skeleton '"
"'calf', 'foot', 'joint', 'knee', 'leg', 'limb', 'shin', 'thigh', 'toe'","'ankle ', 'heel ', 'sole '"
"'back', 'chest', 'shoulder', 'side', 'waist'","'abdomen ', 'belly ', 'button ', 'breast ', 'paunch ', 'torso '"
"'gum', 'mouth', 'neck', 'throat', 'tongue', 'lip'","'incisor ', 'thyroid ', 'gland ', 'tooth ', 'windpipe ', 'wisdom '"
"'appendix', 'brain', 'heart', 'kidney', 'lung'","'diaphragm ', 'bladder ', 'innards ', 'internal ', 'intestine ', 'liver ', 'organ ', 'pancreas ', 'spleen '"
"'finger', 'fist', 'hand', 'finger', 'middle', 'palm', 'ring', 'thumb', 'wrist'","'arm ', 'armpit ', 'elbow ', 'fingertip ', 'index ', 'knuckle ', 'nail '"
"'novel', 'poem', 'poet', 'story'","'alphabet ', 'article ', 'copyright ', 'definition ', 'dictionary ', 'edition ', 'encyclopedia  ', 'essay ', 'journal ', 'literary ', 'literature ', 'magazine ', 'printing ', 'paragraph ', 'copyright '"
"'appendix', 'back'","'bibliography ', 'chapter ', 'contents ', 'copyright ', 'dedication ', 'epilogue  ', 'footnote ', 'foreword ', 'front ', 'illustration ', 'index ', 'introduction ', 'preface ', 'prologue  '"
"'bill', 'costs', 'interest', 'profit', 'risk', 'stock', 'supply', 'net', 'gross'","'budget ', 'capital ', 'debt ', 'demand ', 'difference ', 'invoice ', 'retail ', 'value ', 'share '"
"'bonus', 'brand', 'economy', 'equipment', 'fund', 'public'","'beginner ', 'business ', 'commerce ', 'experience ', 'factory ', 'goods ', 'industry ', 'private ', 'product ', 'property ', 'salary ', 'trademark '"
"'department', 'goal', 'market', 'marketing', 'objective', 'result', 'target'","'advertisement ', 'deadline ', 'promotion ', 'schedule ', 'success ', 'turnover '"
"'boss', 'consultant', 'customer', 'employer'","'competitor ', 'consumer ', 'creditor ', 'debtor ', 'employee ', 'leader ', 'millionaire ', 'producer ', 'representative ', 'retailer ', 'wholesaler '"
"'advertise', 'sign', 'transport'","'administrate ', 'responsible ', 'successful ', 'consume ', 'export ', 'import ', 'invest ', 'trade '"
"'bag', 'belt', 'glasses', 'gloves', 'hat', 'ring', 'shawl', 'tie', 'watch'","'apron ', 'backpack ', 'bracelet ', 'earring ', 'handbag ', 'handkerchief ', 'necklace ', 'scarf ', 'sunglasses '"
"'cloth', 'cotton', 'rag', 'silk', 'velvet'","'bandage ', 'canvas ', 'napkin ', 'handkerchief ', 'rayon ', 'towel ', 'washcloth '"
'boot',"'leather ', 'shoes ', 'sole ', 'shoes ', 'sneaker ', 'heel ', 'sock '"
"'clothes', 'coat', 'shirt', 'pants', 'shirt', 'skirt', 'suit'","'jacket ', 'muscle ', 'shorts ', 't-shirt ', 'vest '"
"'dress', 'undress', 'sew', 'tie', 'try', 'weave'","'embroider ', 'knit ', 'wear '"
"'brown', 'blue', 'gold', 'gray', 'green', 'pink', 'red', 'white'","'orange ', 'purple ', 'silver ', 'yellow '"
"'brick', 'earth', 'khaki', 'rust', 'snow', 'straw'","'amber ', 'flesh ', 'indigo ', 'maroon ', 'off-white ', 'reddish '"
"'bright', 'dark', 'dull', 'pale', 'vivid', 'light'","'faded ', 'monochrome '"
"'columnist', 'photographer', 'radio', 'interview'","'channel ', 'correspondent ', 'editor ', 'interviewee ', 'interviewer ', 'journalist ', 'newspaper ', 'newsreader ', 'reporter ', 'station ', 'television ', 'report '"
"'sport', 'interview', 'news', 'press', 'weather'","'advertisement ', 'circulation ', 'column ', 'editorial ', 'headline ', 'newsprint ', 'obituary ', 'forecast '"
"'basket', 'bottle', 'box', 'can', 'chest', 'crate', 'jar', 'box', 'pot', 'vase'","'basin ', 'bucket ', 'container ', 'pitcher '"
"'administrative', 'court', 'attorney', 'court', 'judge', 'judge', 'appeal'","'civil ', 'constitutional ', 'criminal ', 'jury ', 'lawyer ', 'provincial ', 'supreme '"
"'crime', 'jail', 'guard', 'suspect'","'criminal ', 'dangerous ', 'prison ', 'prisoner ', 'police '"
'abuse',"'arson ', 'assault ', 'blackmail ', 'bribery ', 'burglary ', 'conspiracy ', 'espionage ', 'forgery ', 'fraud ', 'genocide ', 'homicide ', 'kidnapping ', 'manslaughter ', 'mugging ', 'riot ', 'robbery ', 'slander ', 'smuggling ', 'treason '"
"'abuse', 'mug', 'rob', 'steal'","'assault ', 'bribe ', 'burgle ', 'forge ', 'kidnap ', 'rape ', 'rebel ', 'slander ', 'smuggle ', 'trespass '"
"'committee', 'effective', 'evaluate', 'object', 'objective'","'analyze  ', 'ancient ', 'terminology ', 'concept ', 'criticize  ', 'dimension ', 'draft  ', 'experiment ', 'interval ', 'journal ', 'procedure ', 'process ', 'seminar ', 'theory ', 'degree '"
"'class', 'grade', 'school', 'review', 'term', 'test'","'answer ', 'elementary ', 'homework ', 'lesson ', 'nursery ', 'question ', 'subject ', 'university ', 'vocation '"
