wordlist,list,our words,missing words
word-list,list of words,[],['list of words']
1st grade words,"Ache
adjust
affordable
alarm
alone
apologize
appetite
applause
artistic
atmosphere
attach
Bashful
basket
batch
behave
belong
bend
blink
blush
blush
bolt
bolts
borrow
bundle
Cabin
caterpillar
caution
cave
celebrate
centaur
champion
chat
cheat
chimney
compass
complain
conductor
construct
costume
cozy
cranky
crash
creak
croak
crowded
cue
curved
Daily
dainty
dart
decorate
delighted
denied
deserve
divide
dodge
drenched
drowsy
Enormous
equal
exclaim
exhausted
expensive
Fancy
fasten
filthy
flat
flee
fog
footprint
forest
freezing
Gather
giant
glad
gleaming
glum
grab
grateful
grin
grip
groan
Hatch
heap
hide
hobby
honest
howl
Illustrator
injury
Jealous
Knob
Lively
loosen
Mask
misty
modern
mountain
Narrow
Obey
Pain
passenger
pattern
pest
polish
pretend
promise
Rapid
remove
repeat
rescue
restart
return
ripe
rise
roar
rough
rusty
Scold
scratch
seed
selfish
serious
shell
shovel (verb)
shriek
sibling
silent
simple
slippery
sly
sneaky
sob
spiral
splendid
sprinkle
squirm
startle
steep
stormy
striped
surround
switch
Terrified
thick
thunder
ticket
timid
transportation
travel
trust
Upset
Weed
whimper
whirl
wicked
wicked
Yank
","['adjust', 'affordable', 'alone', 'artistic', 'atmosphere', 'basket', 'batch', 'behave', 'bend', 'blink', 'blush', 'blush', 'bolt', 'bundle', 'Cabin', 'cave', 'celebrate', 'champion', 'chat', 'chimney', 'costume', 'cozy', 'crash', 'creak', 'croak', 'Daily', 'dodge', 'drowsy', 'equal', 'expensive', 'flat', 'flee', 'fog', 'forest', 'glad', 'glum', 'grab', 'grateful', 'grin', 'grip', 'groan', 'Hatch', 'hide', 'honest', 'howl', 'Illustrator', 'Knob', 'Mask', 'Obey', 'Pain', 'pest', 'polish', 'Rapid', 'remove', 'return', 'ripe', 'rise', 'rough', 'Scold', 'scratch', 'seed', 'selfish', 'shell', 'shriek', 'sibling', 'silent', 'simple', 'sly', 'sob', 'sprinkle', 'startle', 'steep', 'surround', 'switch', 'thick', 'travel', 'trust', 'Upset', 'Weed', 'Yank']","['Ache', 'alarm', 'apologize', 'appetite', 'applause', 'attach', 'Bashful', 'belong', 'bolts', 'borrow', 'caterpillar', 'caution', 'centaur', 'cheat', 'compass', 'complain', 'conductor', 'construct', 'cranky', 'crowded', 'cue', 'curved', 'dainty', 'dart', 'decorate', 'delighted', 'denied', 'deserve', 'divide', 'drenched', 'Enormous', 'exclaim', 'exhausted', 'Fancy', 'fasten', 'filthy', 'footprint', 'freezing', 'Gather', 'giant', 'gleaming', 'heap', 'hobby', 'injury', 'Jealous', 'Lively', 'loosen', 'misty', 'modern', 'mountain', 'Narrow', 'passenger', 'pattern', 'pretend', 'promise', 'repeat', 'rescue', 'restart', 'roar', 'rusty', 'serious', 'shovel (verb)', 'slippery', 'sneaky', 'spiral', 'splendid', 'squirm', 'stormy', 'striped', 'Terrified', 'thunder', 'ticket', 'timid', 'transportation', 'whimper', 'whirl', 'wicked', 'wicked', '']"
CCVC Word Lists,"flag
skip
tram
frog
plum
drop
step
drag
brag
plan
glad
slam
slab
crab
glad
fled
sled
grab
scab
bled
swim
slip
drip
spit
grim
slim
slam
trim
skid
slid
drop
plop
stop
crop
clog
drum","['flag', 'skip', 'tram', 'frog', 'plum', 'drop', 'step', 'drag', 'brag', 'plan', 'glad', 'slam', 'slab', 'crab', 'glad', 'fled', 'sled', 'grab', 'scab', 'swim', 'slip', 'drip', 'spit', 'grim', 'slim', 'slam', 'trim', 'skid', 'slid', 'drop', 'plop', 'stop', 'crop', 'clog', 'drum']",['bled']
Common Military Vocabulary,"Anti-guerrilla Operations: operations which are conducted against guerilla forces.
Area Defense: a type of defense that is oriented toward retaining a particular terrain. Area defense will rely mainly on the deployed forces that fire to repulse and stop the attackers.
Assault: the last step on an attack phase. It is rushing to close combat in order to drive the enemy out for hand-to-hand combat, using hand grenades and bayonets.
Attack: form of offensive combat. It is an offensive type of action that is directed against the enemy. The purpose is to drive the enemy from his position in order to kill or capture.
Barrage: protective firing of indirect firing weapons
Boundaries: the company and battalion defense areas which are limited due to terrain and means of approach.
Caliber: the diameter of the measured bore. It is expressed in decimal inch fractions.
Charge: part of a fire command. It establishes the propellants amount in a shell.
Checkpoint: an easy to identify point on a terrain used for controlling the movement or identifying locations.
Civic Action: the act of using military forces on certain projects involving its contribution to economic development purposes for the locals. Some of the projects usually cover agriculture, education, public works, communications, sanitation, and health
Close combat: refers to hand-to-hand combat or fighting. It involves the use of weapons such as pistols, bayonets, rifles, and hand grenades.
Counterattack: refers to the attack by a portion or the entire defensive force against the attackers. The main purpose of such an attack is to regain the ground that has been lost, or to destroy the enemys advance units. The objective is to deny the enemy of friendly territory.
D-day: refers to the day in which an operation will commence.
Debarkation: the process of unloading equipment, supplies, or troops from an aircraft or ship.
Deployment: the extension of depth or width of a unit. It refers to how a particular unit is organized for combat.
Direct fire: refers to the fire that is delivered by a weapon which is aimed directly to its target.
Dump: temporary space to store military supplies.
Ejection: refers to the process of expelling empty cartridges from weapons using an ejector.
Evacuation: it is the process of relocating casualties from the battlefield. It is also the clearance of personnel from a locality.
Extraction: the phase of an operation which involves the removal of empty cartridges through ejection.
Ground Zero: the specific point on a ground where a nuclear weapon xploded.
Guerillas: refers to the combatants which are members of an organized military force. Their activities usually involve harassment and disruption of the opposing forces.
Infiltrate: the passing of troops in small groups through an entrance in the enemys side.
Insurgency: refers to rebellious political activity, revolt, or rebellion designed to overthrow or weaken the authority by its very own people.
Insurrection: the process of rising up to challenge the government by its very own people.
Obstacle: a natural or artificial barrier that impedes or stops the units movement.
Penetration: form of attack that allows the attacking force to enter or move forward through the enemys defensive position.
Political warfare: refers to the aggressive approach in using politic methods to fulfill national plans.
Raid: refers to a small scale operation that involves quickly penetrating hostile territory in order to secure important information, to rattle the enemy, or to destroy their installations. When the mission is accomplished, the operation ends with a withdrawal.
Rebellion: refers to open resistance that is organized and armed against the government.
Revolt: to cast off allegiance to the government.
Revolution: a rebellion that is able to succeed in toppling down the government and establishing new authority.
Security: actions taken by a certain command in order to protect its group from sabotage, espionage, and observation.
Withdrawal  an action whereby the unit disengages from the enemy as a direct order from their commander.
Zone of fire: a particular area where a unit delivers or is about to deliver fire.",[],"['Anti-guerrilla Operations: operations which are conducted against guerilla forces.', 'Area Defense: a type of defense that is oriented toward retaining a particular terrain. Area defense will rely mainly on the deployed forces that fire to repulse and stop the attackers.', 'Assault: the last step on an attack phase. It is rushing to close combat in order to drive the enemy out for hand-to-hand combat, using hand grenades and bayonets.', 'Attack: form of offensive combat. It is an offensive type of action that is directed against the enemy. The purpose is to drive the enemy from his position in order to kill or capture.', 'Barrage: protective firing of indirect firing weapons', 'Boundaries: the company and battalion defense areas which are limited due to terrain and means of approach.', 'Caliber: the diameter of the measured bore. It is expressed in decimal inch fractions.', 'Charge: part of a fire command. It establishes the propellants amount in a shell.', 'Checkpoint: an easy to identify point on a terrain used for controlling the movement or identifying locations.', 'Civic Action: the act of using military forces on certain projects involving its contribution to economic development purposes for the locals. Some of the projects usually cover agriculture, education, public works, communications, sanitation, and health', 'Close combat: refers to hand-to-hand combat or fighting. It involves the use of weapons such as pistols, bayonets, rifles, and hand grenades.', 'Counterattack: refers to the attack by a portion or the entire defensive force against the attackers. The main purpose of such an attack is to regain the ground that has been lost, or to destroy the enemys advance units. The objective is to deny the enemy of friendly territory.', 'D-day: refers to the day in which an operation will commence.', 'Debarkation: the process of unloading equipment, supplies, or troops from an aircraft or ship.', 'Deployment: the extension of depth or width of a unit. It refers to how a particular unit is organized for combat.', 'Direct fire: refers to the fire that is delivered by a weapon which is aimed directly to its target.', 'Dump: temporary space to store military supplies.', 'Ejection: refers to the process of expelling empty cartridges from weapons using an ejector.', 'Evacuation: it is the process of relocating casualties from the battlefield. It is also the clearance of personnel from a locality.', 'Extraction: the phase of an operation which involves the removal of empty cartridges through ejection.', 'Ground Zero: the specific point on a ground where a nuclear weapon xploded.', 'Guerillas: refers to the combatants which are members of an organized military force. Their activities usually involve harassment and disruption of the opposing forces.', 'Infiltrate: the passing of troops in small groups through an entrance in the enemys side.', 'Insurgency: refers to rebellious political activity, revolt, or rebellion designed to overthrow or weaken the authority by its very own people.', 'Insurrection: the process of rising up to challenge the government by its very own people.', 'Obstacle: a natural or artificial barrier that impedes or stops the units movement.', 'Penetration: form of attack that allows the attacking force to enter or move forward through the enemys defensive position.', 'Political warfare: refers to the aggressive approach in using politic methods to fulfill national plans.', 'Raid: refers to a small scale operation that involves quickly penetrating hostile territory in order to secure important information, to rattle the enemy, or to destroy their installations. When the mission is accomplished, the operation ends with a withdrawal.', 'Rebellion: refers to open resistance that is organized and armed against the government.', 'Revolt: to cast off allegiance to the government.', 'Revolution: a rebellion that is able to succeed in toppling down the government and establishing new authority.', 'Security: actions taken by a certain command in order to protect its group from sabotage, espionage, and observation.', 'Withdrawal  an action whereby the unit disengages from the enemy as a direct order from their commander.', 'Zone of fire: a particular area where a unit delivers or is about to deliver fire.']"
Common Three Letter Words,"the  specifies, or makes particular
and  added condition or stipulation
for  directed to someone or something
are  present tense of the word be, or a metric unit
but  on the contrary
not  no way
you  a person or someone being addressed
all - everything
any  one
can  a container
her  a case of the pronoun she
was  to have actuality, a form of the word be
one  a number
our  a possessive form of the pronoun we
out  to be revealed of something or go outdoors or go beyond expectations
day  between sunrise and sunset
get  to come into possession of something
has  wealthy person, a form of had
him  a male human being
his  the possessive form of he
how  a way of doing something
man  an adult male
new  never used before, modern
now  right at this very moment, the present time
old  having or being for a very long time
see  to look or perceive with ones eyes
two  the number
way  a method of doing something
who  a person or persons
boy  a young person who is of male gender
did - part of the musical scale
its  the possessive form of it
let  giving permission to
put  to place something in a spot of your choice
say  speak words from ones mouth
she  a female human being
too  in addition
use  put into service
dad - father
mom  mother
act  to do something
bar  to shut out, to not let in
car  a vehicle in which you drive
dew  condensed moisture
eat  to consume food
far  a great distance
gym  a room for athletics
hey  something one says to get attention
ink  liquid in a pen in which you write with
jet  a stream of water
key  open a door or starts a vehicle
log  a tree that is cut down
mad  not well mentally
nap  to sleep for a brief moment
odd  not common
pal  a friend
ram  to hit or strike with force
saw  a tool to cut or divide
tan  to turn golden brown from the sun
urn - a decorative container
vet  a doctor who treats animals
wed - marriage
yap  a shrill bark
zoo  a place where animals are housed for people to come and see",[],"['the  specifies, or makes particular', 'and  added condition or stipulation', 'for  directed to someone or something', 'are  present tense of the word be, or a metric unit', 'but  on the contrary', 'not  no way', 'you  a person or someone being addressed', 'all - everything', 'any  one', 'can  a container', 'her  a case of the pronoun she', 'was  to have actuality, a form of the word be', 'one  a number', 'our  a possessive form of the pronoun we', 'out  to be revealed of something or go outdoors or go beyond expectations', 'day  between sunrise and sunset', 'get  to come into possession of something', 'has  wealthy person, a form of had', 'him  a male human being', 'his  the possessive form of he', 'how  a way of doing something', 'man  an adult male', 'new  never used before, modern', 'now  right at this very moment, the present time', 'old  having or being for a very long time', 'see  to look or perceive with ones eyes', 'two  the number', 'way  a method of doing something', 'who  a person or persons', 'boy  a young person who is of male gender', 'did - part of the musical scale', 'its  the possessive form of it', 'let  giving permission to', 'put  to place something in a spot of your choice', 'say  speak words from ones mouth', 'she  a female human being', 'too  in addition', 'use  put into service', 'dad - father', 'mom  mother', 'act  to do something', 'bar  to shut out, to not let in', 'car  a vehicle in which you drive', 'dew  condensed moisture', 'eat  to consume food', 'far  a great distance', 'gym  a room for athletics', 'hey  something one says to get attention', 'ink  liquid in a pen in which you write with', 'jet  a stream of water', 'key  open a door or starts a vehicle', 'log  a tree that is cut down', 'mad  not well mentally', 'nap  to sleep for a brief moment', 'odd  not common', 'pal  a friend', 'ram  to hit or strike with force', 'saw  a tool to cut or divide', 'tan  to turn golden brown from the sun', 'urn - a decorative container', 'vet  a doctor who treats animals', 'wed - marriage', 'yap  a shrill bark', 'zoo  a place where animals are housed for people to come and see']"
Computer Terms for Children,"Backup - This is an extra copy of a file or document.
Browser - This is the program you use to browse files. A web browser will browse internet files, like Firefox or Internet Explorer.
Burn a CD - This means to make a copy of data onto a CD. It is called burn because it actually heats up the CD.
Cursor - Usually a small arrow on the screen that moves when you move the mouse. The cursor is used to make a selection.
Caret or Insertion Point - This is that small blinking line that shows you where your next typed letter or number will go.
Data - Any information stored by a computer. It can be files, E-mails, video games, songs, pictures, etc.
Desktop - This is the screen that appears if you are not browsing the Internet, reading a file, or playing a game. Your icons are on this screen.
Download - This is the process where you copy something from another computer or the Internet, and save it on your computer.
Drag and drop - To do this, you click on something and hold the button down. This will move the object you clicked on and will leave it where you let go of the button. So it drags it and drops it.
E-mail - This is simply a way to send a message from one computer to another.
FAQ - This is an abbreviation for Frequently Asked Questions.
Graphic - This is a picture or an image.
Homepage - This is the first page you see when you open your browser. You can make any page your homepage.
Icon - This is a small symbol or picture that represents a program or other things.
Internet - Many computers that are connected like a web so you can see what other computer operators show you and you can show them things as well.
Logon - You have to do this to get access to a computer. You just type in a certain name or code.
Memory - This is the data that a computer stores. Long term memory must be saved to the hard drive.
Password - This is a secret code to protect your data and can keep others from accessing your computer.
Right click - When you right click on the mouse, you are given a menu of options.
Screensaver - This is a picture that pops up when you are not using your computer.
Shortcut - When you click on an icon, it is a shortcut to a file or program.
Software - This is all the instructions for the computer or a program designed to do different things. Examples are: Microsoft Word, Internet Explorer, and Windows.
Spam: This is an abbreviation for ""sending particularly annoying messages""; it stands for unwanted e-mail.
Task bar - The bar beside the Start button that shows what programs are open.
URL - The address of documents and resources on the internet.
User - Anyone using a computer.
Virus - Software that was written to do bad stuff to your computer.
Wallpaper - A picture or design on your desktop for decoration.
WWW or World Wide Web - Group of internet servers linking computers around the world.
Computer - An electronic machine that can store and process data. A computer has hardware, which is the machine itself, and software, which is a set of instructions.
Desktop - This is the type of computer you have at home with the monitor and computer connected.
Keyboard - This is where all the letters, numbers, and other buttons are located. When you type on it, the symbols appear on the monitor.
Laptop - A small portable computer.
Modem - Converts digital data into analog data, so it can be sent over phone lines. Changes analog into digital when receiving data.
Monitor - The screen that shows you what you are doing. It is like a viewer that displays what the computer sends to it.
Mouse - A little device that you move with your hand which then moves the cursor on the screen.
Printer - The computer sends information to the printer and it prints it out onto paper.
Scanner - A device that scans something that is flat and sends the image to the computer.
Speakers - These are the devices that the sounds come out of which are sometimes built into the monitor.
Touch-pad - This is an area on a laptop that substitutes for a mouse. You move your finger around on it to move the cursor.",[],"['Backup - This is an extra copy of a file or document.', 'Browser - This is the program you use to browse files. A web browser will browse internet files, like Firefox or Internet Explorer.', 'Burn a CD - This means to make a copy of data onto a CD. It is called burn because it actually heats up the CD.', 'Cursor - Usually a small arrow on the screen that moves when you move the mouse. The cursor is used to make a selection.', 'Caret or Insertion Point - This is that small blinking line that shows you where your next typed letter or number will go.', 'Data - Any information stored by a computer. It can be files, E-mails, video games, songs, pictures, etc.', 'Desktop - This is the screen that appears if you are not browsing the Internet, reading a file, or playing a game. Your icons are on this screen.', 'Download - This is the process where you copy something from another computer or the Internet, and save it on your computer.', 'Drag and drop - To do this, you click on something and hold the button down. This will move the object you clicked on and will leave it where you let go of the button. So it drags it and drops it.', 'E-mail - This is simply a way to send a message from one computer to another.', 'FAQ - This is an abbreviation for Frequently Asked Questions.', 'Graphic - This is a picture or an image.', 'Homepage - This is the first page you see when you open your browser. You can make any page your homepage.', 'Icon - This is a small symbol or picture that represents a program or other things.', 'Internet - Many computers that are connected like a web so you can see what other computer operators show you and you can show them things as well.', 'Logon - You have to do this to get access to a computer. You just type in a certain name or code.', 'Memory - This is the data that a computer stores. Long term memory must be saved to the hard drive.', 'Password - This is a secret code to protect your data and can keep others from accessing your computer.', 'Right click - When you right click on the mouse, you are given a menu of options.', 'Screensaver - This is a picture that pops up when you are not using your computer.', 'Shortcut - When you click on an icon, it is a shortcut to a file or program.', 'Software - This is all the instructions for the computer or a program designed to do different things. Examples are: Microsoft Word, Internet Explorer, and Windows.', 'Spam: This is an abbreviation for ""sending particularly annoying messages""; it stands for unwanted e-mail.', 'Task bar - The bar beside the Start button that shows what programs are open.', 'URL - The address of documents and resources on the internet.', 'User - Anyone using a computer.', 'Virus - Software that was written to do bad stuff to your computer.', 'Wallpaper - A picture or design on your desktop for decoration.', 'WWW or World Wide Web - Group of internet servers linking computers around the world.', 'Computer - An electronic machine that can store and process data. A computer has hardware, which is the machine itself, and software, which is a set of instructions.', 'Desktop - This is the type of computer you have at home with the monitor and computer connected.', 'Keyboard - This is where all the letters, numbers, and other buttons are located. When you type on it, the symbols appear on the monitor.', 'Laptop - A small portable computer.', 'Modem - Converts digital data into analog data, so it can be sent over phone lines. Changes analog into digital when receiving data.', 'Monitor - The screen that shows you what you are doing. It is like a viewer that displays what the computer sends to it.', 'Mouse - A little device that you move with your hand which then moves the cursor on the screen.', 'Printer - The computer sends information to the printer and it prints it out onto paper.', 'Scanner - A device that scans something that is flat and sends the image to the computer.', 'Speakers - These are the devices that the sounds come out of which are sometimes built into the monitor.', 'Touch-pad - This is an area on a laptop that substitutes for a mouse. You move your finger around on it to move the cursor.']"
,,[],['']
English Words that End with a Silent E,"Love
Dove
Above
Cove
Give
Gave
Cave
Knave
Jove
Stove
Brave
Dave
Drove
Mauve
Mace
Maze
Lace
Grace
Pace
Wove
Drive
Hate
Bate
Date
Fate
Grate
Gate
Mate
Nate
Kate
Late
Bite
Skate
Cute
Flute
Mute
Ripe
Pipe
Tripe
Stripe
Type
Gripe
Hype
Die
Pie
Tape
Gape
Nape
Spoke
Wrote
Note
Zygote
Page
Gauge
Cage
Lime
Time
Mime
Dime
Wine
Pine
Turpentine
Frame
Game
Name
Tame
Same
Came
Dame
Fame
Crane
Cake
Bake
Take
Make
Lake
Plane
Mane
Dane
Scene
Come
Came
Crime
Fare
Bare
Mare
Stare
Claire
Rose
Nose
Doze
Wise
Loose
Lose
Grease
Shoe
Toe
Slate
Mete
Gripe
Code
Abode
Rune
Cane
Pane
Hope
Pope
State
Spite
Trite
Kite
Mite
Late
Extreme
Note
Calculate
Reserve
Preserve
Curve
Conceive
Perceive
Receive
Expense
Hence
Peace
Abase
Fleece
Niece
Abide
Above
Abuse
Acute
Adore
Angle
Anime
Bible
Biome
Blade
Blame
Blare
Bride
Cause
Case
Grave
Choke
Chore
Chose
Close
Clothe
Evoke
Fluke
Flume
Frame
Goose
Grove
Orate
Pause
Pike
Rite
Courage
Please
Squeeze
Tease
Ate
Ride
Rode
Slate
Robe
Hope
Cube
Jute
Code
Mode
Mope
Dude
Wine
Whine
Dine
Handle
Age
Moose
Goose","['Love', 'Dove', 'Above', 'Cove', 'Give', 'Gave', 'Cave', 'Knave', 'Stove', 'Brave', 'Dave', 'Drove', 'Mace', 'Maze', 'Drive', 'Hate', 'Date', 'Fate', 'Grate', 'Gate', 'Mate', 'Nate', 'Kate', 'Late', 'Bite', 'Skate', 'Cute', 'Flute', 'Mute', 'Ripe', 'Pipe', 'Stripe', 'Type', 'Hype', 'Die', 'Pie', 'Tape', 'Spoke', 'Wrote', 'Note', 'Cage', 'Lime', 'Time', 'Dime', 'Wine', 'Pine', 'Frame', 'Game', 'Name', 'Tame', 'Same', 'Came', 'Fame', 'Crane', 'Cake', 'Bake', 'Take', 'Make', 'Lake', 'Plane', 'Mane', 'Come', 'Came', 'Crime', 'Fare', 'Rose', 'Nose', 'Wise', 'Loose', 'Lose', 'Shoe', 'Toe', 'Cane', 'Pane', 'Hope', 'Pope', 'Kite', 'Late', 'Extreme', 'Note', 'Calculate', 'Peace', 'Niece', 'Above', 'Abuse', 'Acute', 'Adore', 'Angle', 'Bible', 'Blade', 'Blame', 'Bride', 'Cause', 'Case', 'Grave', 'Choke', 'Chore', 'Chose', 'Close', 'Clothe', 'Fluke', 'Flume', 'Frame', 'Goose', 'Squeeze', 'Tease', 'Ate', 'Ride', 'Rode', 'Hope', 'Cube', 'Jute', 'Dude', 'Wine', 'Whine', 'Dine', 'Age', 'Goose']","['Jove', 'Mauve', 'Lace', 'Grace', 'Pace', 'Wove', 'Bate', 'Tripe', 'Gripe', 'Gape', 'Nape', 'Zygote', 'Page', 'Gauge', 'Mime', 'Turpentine', 'Dame', 'Dane', 'Scene', 'Bare', 'Mare', 'Stare', 'Claire', 'Doze', 'Grease', 'Slate', 'Mete', 'Gripe', 'Code', 'Abode', 'Rune', 'State', 'Spite', 'Trite', 'Mite', 'Reserve', 'Preserve', 'Curve', 'Conceive', 'Perceive', 'Receive', 'Expense', 'Hence', 'Abase', 'Fleece', 'Abide', 'Anime', 'Biome', 'Blare', 'Evoke', 'Grove', 'Orate', 'Pause', 'Pike', 'Rite', 'Courage', 'Please', 'Slate', 'Robe', 'Code', 'Mode', 'Mope', 'Handle', 'Moose']"
List of Adjective Words,"adorable
adventurous
aggressive
agreeable
alert
alive
amused
angry
annoyed
annoying
anxious
arrogant
ashamed
attractive
average
awful
bad
beautiful
better
bewildered
black
bloody
blue
blue-eyed
blushing
bored
brainy
brave
breakable
bright
busy
calm
careful
cautious
charming
cheerful
clean
clear
clever
cloudy
clumsy
colorful
combative
comfortable
concerned
condemned
confused
cooperative
courageous
crazy
creepy
crowded
cruel
curious
cute
dangerous
dark
dead
defeated
defiant
delightful
depressed
determined
different
difficult
disgusted
distinct
disturbed
dizzy
doubtful
drab
dull
eager
easy
elated
elegant
embarrassed
enchanting
encouraging
energetic
enthusiastic
envious
evil
excited
expensive
exuberant
fair
faithful
famous
fancy
fantastic
fierce
filthy
fine
foolish
fragile
frail
frantic
friendly
frightened
funny
gentle
gifted
glamorous
gleaming
glorious
good
gorgeous
graceful
grieving
grotesque
grumpy
handsome
happy
healthy
helpful
helpless
hilarious
homeless
homely
horrible
hungry
hurt
ill
important
impossible
inexpensive
innocent
inquisitive
itchy
jealous
jittery
jolly
joyous
kind
lazy
light
lively
lonely
long
lovely
lucky
magnificent
misty
modern
motionless
muddy
mushy
mysterious
nasty
naughty
nervous
nice
nutty
obedient
obnoxious
odd
old-fashioned
open
outrageous
outstanding
panicky
perfect
plain
pleasant
poised
poor
powerful
precious
prickly
proud
puzzled
quaint
real
relieved
repulsive
rich
scary
selfish
shiny
shy
silly
sleepy
smiling
smoggy
sore
sparkling
splendid
spotless
stormy
strange
stupid
successful
super
talented
tame
tender
tense
terrible
testy
thankful
thoughtful
thoughtless
tired
tough
troubled
ugliest
ugly
uninterested
unsightly
unusual
upset
uptight
vast
victorious
vivacious
wandering
weary
wicked
wide-eyed
wild
witty
worrisome
worried
wrong
zany
zealous","['aggressive', 'agreeable', 'alive', 'bad', 'beautiful', 'black', 'blue', 'brave', 'bright', 'busy', 'calm', 'careful', 'cheerful', 'clean', 'clear', 'cloudy', 'crazy', 'cruel', 'cute', 'dark', 'dead', 'difficult', 'drab', 'dull', 'expensive', 'famous', 'fantastic', 'fierce', 'fine', 'foolish', 'frail', 'frantic', 'funny', 'gentle', 'gifted', 'good', 'grieving', 'happy', 'helpful', 'helpless', 'homeless', 'horrible', 'hurt', 'ill', 'important', 'inexpensive', 'jolly', 'kind', 'light', 'lonely', 'long', 'lucky', 'naughty', 'open', 'outstanding', 'plain', 'pleasant', 'poor', 'quaint', 'real', 'repulsive', 'rich', 'selfish', 'shiny', 'shy', 'silly', 'sleepy', 'sore', 'sparkling', 'strange', 'tame', 'terrible', 'thankful', 'tough', 'ugly', 'upset', 'vast', 'wild', 'wrong']","['adorable', 'adventurous', 'alert', 'amused', 'angry', 'annoyed', 'annoying', 'anxious', 'arrogant', 'ashamed', 'attractive', 'average', 'awful', 'better', 'bewildered', 'bloody', 'blue-eyed', 'blushing', 'bored', 'brainy', 'breakable', 'cautious', 'charming', 'clever', 'clumsy', 'colorful', 'combative', 'comfortable', 'concerned', 'condemned', 'confused', 'cooperative', 'courageous', 'creepy', 'crowded', 'curious', 'dangerous', 'defeated', 'defiant', 'delightful', 'depressed', 'determined', 'different', 'disgusted', 'distinct', 'disturbed', 'dizzy', 'doubtful', 'eager', 'easy', 'elated', 'elegant', 'embarrassed', 'enchanting', 'encouraging', 'energetic', 'enthusiastic', 'envious', 'evil', 'excited', 'exuberant', 'fair', 'faithful', 'fancy', 'filthy', 'fragile', 'friendly', 'frightened', 'glamorous', 'gleaming', 'glorious', 'gorgeous', 'graceful', 'grotesque', 'grumpy', 'handsome', 'healthy', 'hilarious', 'homely', 'hungry', 'impossible', 'innocent', 'inquisitive', 'itchy', 'jealous', 'jittery', 'joyous', 'lazy', 'lively', 'lovely', 'magnificent', 'misty', 'modern', 'motionless', 'muddy', 'mushy', 'mysterious', 'nasty', 'nervous', 'nice', 'nutty', 'obedient', 'obnoxious', 'odd', 'old-fashioned', 'outrageous', 'panicky', 'perfect', 'poised', 'powerful', 'precious', 'prickly', 'proud', 'puzzled', 'relieved', 'scary', 'smiling', 'smoggy', 'splendid', 'spotless', 'stormy', 'stupid', 'successful', 'super', 'talented', 'tender', 'tense', 'testy', 'thoughtful', 'thoughtless', 'tired', 'troubled', 'ugliest', 'uninterested', 'unsightly', 'unusual', 'uptight', 'victorious', 'vivacious', 'wandering', 'weary', 'wicked', 'wide-eyed', 'witty', 'worrisome', 'worried', 'zany', 'zealous']"
List of Adjectives to Describe Tone and Feelings and Emotions,"To Describe a Positive Tone
fresh
open
animated
devoted
loving
sympathetic
encouraging
supportive
kind
clever
warm
hopeful
To Describe a Negative Tone
sarcastic
narcissistic
heavy
bitter
obnoxious
foolish
disgruntled
hurtful
disgusted
irritated
nasty
oppressive
anxious
horrified
annoyed
resentful
sick
guilty
downcast
overbearing
To Describe Other Tones
involved
sardonic
intelligent
religious
political
secular
bashful
democratic
republican
mysterious
conservative
bright
cautious
liberal
quizzical
secretive
To Describe a Positive Feeling
happy
amazed
free
wonderful
clean
strong
beautiful
excited
great
bold
gorgeous
attractive
better
agreeable
brave
calm
delightful
festive
gentle
jolly
proud
shy
optimistic
cheerful
To Describe a Negative Feeling
angry
sadistic
moody
cold
pessimistic
sad
chilly
thirsty
nervous
tired
weak
evil
terrible
dreadful
dirty
ugly
dreary
awful
stupid
dumb
To Describe a Positive Emotion
upbeat
joyful
sweet
serene
respectful
appreciative
contented
jubilant
To Describe a Negative Emotion
aggravated
miserable
mad
grumpy
tearful
selfish
depressed
sour
","['fresh', 'open', 'sympathetic', 'supportive', 'kind', 'warm', 'hopeful', 'heavy', 'foolish', 'sick', 'bright', 'happy', 'free', 'clean', 'strong', 'beautiful', 'great', 'bold', 'agreeable', 'brave', 'calm', 'gentle', 'jolly', 'shy', 'cheerful', 'cold', 'sad', 'chilly', 'thirsty', 'weak', 'terrible', 'dreadful', 'ugly', 'dumb', 'sweet', 'mad', 'selfish']","['To Describe a Positive Tone', 'animated', 'devoted', 'loving', 'encouraging', 'clever', 'To Describe a Negative Tone', 'sarcastic', 'narcissistic', 'bitter', 'obnoxious', 'disgruntled', 'hurtful', 'disgusted', 'irritated', 'nasty', 'oppressive', 'anxious', 'horrified', 'annoyed', 'resentful', 'guilty', 'downcast', 'overbearing', 'To Describe Other Tones', 'involved', 'sardonic', 'intelligent', 'religious', 'political', 'secular', 'bashful', 'democratic', 'republican', 'mysterious', 'conservative', 'cautious', 'liberal', 'quizzical', 'secretive', 'To Describe a Positive Feeling', 'amazed', 'wonderful', 'excited', 'gorgeous', 'attractive', 'better', 'delightful', 'festive', 'proud', 'optimistic', 'To Describe a Negative Feeling', 'angry', 'sadistic', 'moody', 'pessimistic', 'nervous', 'tired', 'evil', 'dirty', 'dreary', 'awful', 'stupid', 'To Describe a Positive Emotion', 'upbeat', 'joyful', 'serene', 'respectful', 'appreciative', 'contented', 'jubilant', 'To Describe a Negative Emotion', 'aggravated', 'miserable', 'grumpy', 'tearful', 'depressed', 'sour', '']"
